rank,stock_code,stock_name,close,prev_close,amount_yuan,volume,return,amount_100m,snapshot_source,snapshot_date,sw_level1,sw_level2,sw_level2_code
1,300308,中际旭创,846.0000000000,870.2200000000,25019267513.2500000000,293560.0000000000,-0.0278000000,250.1926751325,东方财富沪深京A股延迟行情直连,2026-08-25,通信,通信设备,801102
2,600487,亨通光电,64.6000000000,60.4300000000,16273223193.0000000000,2601434.0000000000,0.0690000000,162.7322319300,东方财富沪深京A股延迟行情直连,2026-08-25,通信,通信设备,801102
3,603986,兆易创新,395.5100000000,381.6600000000,15343138130.0000000000,396495.0000000000,0.0363000000,153.4313813000,东方财富沪深京A股延迟行情直连,2026-08-25,电子,半导体,801081
4,300502,新易盛,400.8700000000,412.0000000000,14132371802.2800006866,350271.0000000000,-0.0270000000,141.3237180228,东方财富沪深京A股延迟行情直连,2026-08-25,通信,通信设备,801102
5,688825,长鑫科技,56.5000000000,56.6000000000,13316746353.0000000000,2368430.0000000000,-0.0018000000,133.1674635300,东方财富沪深京A股延迟行情直连,2026-08-25,电子,半导体,801081
6,688256,寒武纪,1010.4800000000,969.0500000000,12588517790.0000000000,125720.0000000000,0.0428000000,125.8851779000,东方财富沪深京A股延迟行情直连,2026-08-25,电子,半导体,801081
7,300394,天孚通信,257.1000000000,249.5000000000,11415328784.9500007629,451097.0000000000,0.0305000000,114.1532878495,东方财富沪深京A股延迟行情直连,2026-08-25,通信,通信设备,801102
8,002384,东山精密,190.8400000000,193.6000000000,10599337091.6000003815,553985.0000000000,-0.0143000000,105.9933709160,东方财富沪深京A股延迟行情直连,2026-08-25,电子,元件,801083
