stock_code,stock_name,close,prev_close,amount_yuan,volume,return,amount_100m,snapshot_source,snapshot_date
688020,方邦股份,122.2500000000,118.5500000000,466551280.0000000000,39250.0000000000,0.0312000000,4.6655128000,东方财富沪深京A股延迟行情直连,2026-08-25
000833,粤桂股份,20.8800000000,21.2700000000,466243247.7500000000,221477.0000000000,-0.0183000000,4.6624324775,东方财富沪深京A股延迟行情直连,2026-08-25
301606,绿联科技,55.1000000000,48.9500000000,466130646.8799999952,85929.0000000000,0.1256000000,4.6613064688,东方财富沪深京A股延迟行情直连,2026-08-25
301292,海科新源,65.2100000000,66.3600000000,466112566.0500000119,72258.0000000000,-0.0173000000,4.6611256605,东方财富沪深京A股延迟行情直连,2026-08-25
600521,华海药业,16.4300000000,16.2000000000,465293003.0000000000,287344.0000000000,0.0142000000,4.6529300300,东方财富沪深京A股延迟行情直连,2026-08-25
301419,阿莱德,39.0000000000,41.1000000000,464818211.5400000215,119448.0000000000,-0.0511000000,4.6481821154,东方财富沪深京A股延迟行情直连,2026-08-25
000670,盈方微,6.9900000000,7.3100000000,464643876.7799999714,679327.0000000000,-0.0438000000,4.6464387678,东方财富沪深京A股延迟行情直连,2026-08-25
601319,中国人保,7.1000000000,7.0400000000,463765393.0000000000,656036.0000000000,0.0085000000,4.6376539300,东方财富沪深京A股延迟行情直连,2026-08-25
002294,信立泰,31.9200000000,31.6200000000,463335601.8500000238,145667.0000000000,0.0095000000,4.6333560185,东方财富沪深京A股延迟行情直连,2026-08-25
688710,益诺思,97.9700000000,89.8900000000,463315311.0000000000,48928.0000000000,0.0899000000,4.6331531100,东方财富沪深京A股延迟行情直连,2026-08-25
688192,迪哲医药-U,60.2000000000,59.1700000000,463227210.0000000000,76653.0000000000,0.0174000000,4.6322721000,东方财富沪深京A股延迟行情直连,2026-08-25
002251,步步高,3.6800000000,3.4900000000,462619755.0500000119,1274862.0000000000,0.0544000000,4.6261975505,东方财富沪深京A股延迟行情直连,2026-08-25
000523,红棉股份,3.2500000000,3.0700000000,462142226.6999999881,1400157.0000000000,0.0586000000,4.6214222670,东方财富沪深京A股延迟行情直连,2026-08-25
601868,中国能建,2.5200000000,2.5000000000,461881288.0000000000,1837998.0000000000,0.0080000000,4.6188128800,东方财富沪深京A股延迟行情直连,2026-08-25
300762,上海瀚讯,27.7000000000,27.0400000000,460816506.2599999905,168673.0000000000,0.0244000000,4.6081650626,东方财富沪深京A股延迟行情直连,2026-08-25
