date,direction,stock_code,stock_name,close,return,amount_100m,turnover,industry,source
2026-08-25,limit_up,000017,深中华A,8.6000000000,0.0997442436,4.3014353600,0.1134825897,饰品,东方财富涨跌停池直接接口
2026-08-25,limit_up,002084,海鸥住工,4.3500000000,0.1012658215,0.0842718500,0.0030052444,家居用品,东方财富涨跌停池直接接口
2026-08-25,limit_up,002445,中南文化,3.7100000000,0.1008902073,0.1758473200,0.0020030899,通用设备,东方财富涨跌停池直接接口
2026-08-25,limit_up,600984,建设机械,4.9400000000,0.1002227116,0.6392908300,0.0102948749,工程机械,东方财富涨跌停池直接接口
2026-08-25,limit_up,002627,三峡旅游,7.1800000000,0.0995405865,0.7937732200,0.0158763099,旅游及景,东方财富涨跌停池直接接口
2026-08-25,limit_up,002880,卫光生物,22.5500000000,0.1000000000,0.5934038400,0.0117041886,生物制品,东方财富涨跌停池直接接口
2026-08-25,limit_up,001268,联合精密,24.6600000000,0.0999107933,0.6672299400,0.0290153599,家电零部,东方财富涨跌停池直接接口
2026-08-25,limit_up,600508,上海能源,10.8700000000,0.1002024269,2.2513883400,0.0206023097,煤炭开采,东方财富涨跌停池直接接口
2026-08-25,limit_up,000523,红棉股份,3.3800000000,0.1009772015,1.6676360300,0.0379103255,综合Ⅱ,东方财富涨跌停池直接接口
2026-08-25,limit_up,000428,华天酒店,4.3200000000,0.0992366409,0.6949381600,0.0161350691,酒店餐饮,东方财富涨跌停池直接接口
2026-08-25,limit_up,600127,金健米业,9.3100000000,0.1004728127,8.9846059200,0.1553246880,农产品加,东方财富涨跌停池直接接口
2026-08-25,limit_up,605303,园林股份,22.8500000000,0.1001444340,0.7534425700,0.0206440926,基础建设,东方财富涨跌停池直接接口
2026-08-25,limit_up,000796,凯撒旅业,4.1800000000,0.1000000000,1.4363622100,0.0262883043,旅游及景,东方财富涨跌停池直接接口
2026-08-25,limit_up,002949,华阳国际,12.4400000000,0.0999115849,1.2631022700,0.0678588581,工程咨询,东方财富涨跌停池直接接口
2026-08-25,limit_up,600371,万向德农,8.6700000000,0.1002538013,1.4382382500,0.0581883478,种植业,东方财富涨跌停池直接接口
2026-08-25,limit_up,300642,透景生命,16.2000000000,0.2000000000,1.4905594100,0.0685292816,医疗器械,东方财富涨跌停池直接接口
2026-08-25,limit_up,600698,湖南天雁,7.2800000000,0.0996978855,1.7966804400,0.0301998234,汽车零部,东方财富涨跌停池直接接口
2026-08-25,limit_up,002041,登海种业,11.2100000000,0.1000981331,4.1203219200,0.0436662912,种植业,东方财富涨跌停池直接接口
2026-08-25,limit_up,603360,百傲化学,13.7700000000,0.0998402500,1.3596452200,0.0142693901,农化制品,东方财富涨跌停池直接接口
2026-08-25,limit_up,600470,六国化工,5.9300000000,0.1001855278,1.7458918000,0.0575854158,农化制品,东方财富涨跌停池直接接口
2026-08-25,limit_up,003040,楚天龙,15.4800000000,0.1002132225,6.4436315200,0.0943188667,通信设备,东方财富涨跌停池直接接口
2026-08-25,limit_up,600838,上海九百,8.0200000000,0.1001371765,0.8791633600,0.0278523397,一般零售,东方财富涨跌停池直接接口
2026-08-25,limit_up,600281,华阳新材,5.0500000000,0.1002178669,1.2950430700,0.0510672569,小金属,东方财富涨跌停池直接接口
2026-08-25,limit_up,600354,敦煌种业,7.2900000000,0.0995475101,3.7685432000,0.1010184860,种植业,东方财富涨跌停池直接接口
2026-08-25,limit_up,603079,圣达生物,13.8900000000,0.0997624683,1.8886283500,0.0748144102,化学制品,东方财富涨跌停池直接接口
2026-08-25,limit_up,002742,冀衡医药,4.6800000000,0.1011764717,1.7019257800,0.0714233923,化学制药,东方财富涨跌停池直接接口
2026-08-25,limit_up,002412,汉森制药,12.3300000000,0.0999107933,11.0943219200,0.1920030975,中药Ⅱ,东方财富涨跌停池直接接口
2026-08-25,limit_up,600103,青山纸业,3.1500000000,0.1013986015,4.1229097600,0.0605761909,造纸,东方财富涨跌停池直接接口
2026-08-25,limit_up,603395,红四方,28.5500000000,0.1001926804,3.1986713600,0.1785544014,农化制品,东方财富涨跌停池直接接口
2026-08-25,limit_up,603113,金能科技,5.4800000000,0.1004016113,1.6524993300,0.0369170856,化学原料,东方财富涨跌停池直接接口
2026-08-25,limit_up,002907,华森制药,15.7400000000,0.0999301243,2.1595409900,0.0424429560,中药Ⅱ,东方财富涨跌停池直接接口
2026-08-25,limit_up,000695,滨海能源,15.3500000000,0.1003584290,2.6795260600,0.0806550980,电池,东方财富涨跌停池直接接口
2026-08-25,limit_up,000566,海南海药,4.9700000000,0.0995575142,4.0738542400,0.0656796122,化学制药,东方财富涨跌停池直接接口
2026-08-25,limit_up,688169,石头科技,135.0000000000,0.2000000000,20.1403128000,0.0592207336,小家电,东方财富涨跌停池直接接口
2026-08-25,limit_up,000779,甘咨询,10.0100000000,0.1000000000,5.0567873600,0.1139884853,工程咨询,东方财富涨跌停池直接接口
2026-08-25,limit_up,002081,金 螳 螂,5.5000000000,0.1000000000,8.4198411200,0.0621725893,装修装饰,东方财富涨跌停池直接接口
2026-08-25,limit_up,002418,康盛股份,4.0500000000,0.1005434799,1.3110877600,0.0301383114,家电零部,东方财富涨跌停池直接接口
2026-08-25,limit_down,603156,养元饮品,42.9600000000,-0.0999371529,5.4301443200,0.0099533635,饮料乳品,东方财富涨跌停池直接接口
2026-08-25,limit_down,603226,菲林格尔,36.1400000000,-0.1000996017,1.2694547900,0.0097011840,家居用品,东方财富涨跌停池直接接口
