rank,stock_code,stock_name,close,prev_close,amount_yuan,volume,return,amount_100m,snapshot_source,sw_level1,sw_level2,sw_level2_code
1,300308,中际旭创,943.0000000000,904.2000000000,26686400633.0000000000,28703867.0000000000,0.0429100000,266.8640063300,AKShare stock_zh_a_spot / 新浪,通信,通信设备,801102
2,300502,新易盛,442.0000000000,414.0200000000,20792810916.0000000000,47780764.0000000000,0.0675800000,207.9281091600,AKShare stock_zh_a_spot / 新浪,通信,通信设备,801102
3,688825,长鑫科技,58.0000000000,57.5700000000,16107953634.0000000000,275847845.0000000000,0.0074700000,161.0795363400,AKShare stock_zh_a_spot / 新浪,电子,半导体,801081
4,300394,天孚通信,273.0800000000,276.2500000000,14055654906.0000000000,50444269.0000000000,-0.0114800000,140.5565490600,AKShare stock_zh_a_spot / 新浪,通信,通信设备,801102
5,603986,兆易创新,409.0600000000,403.5000000000,13868009484.0000000000,34076661.0000000000,0.0137800000,138.6800948400,AKShare stock_zh_a_spot / 新浪,电子,半导体,801081
6,688256,寒武纪,1035.0000000000,1010.8800000000,12446848997.0000000000,12033293.0000000000,0.0238600000,124.4684899700,AKShare stock_zh_a_spot / 新浪,电子,半导体,801081
7,002384,东山精密,201.0800000000,197.6700000000,10401811549.0000000000,51629424.0000000000,0.0172500000,104.0181154900,AKShare stock_zh_a_spot / 新浪,电子,元件,801083
8,601899,XD紫金矿,34.7400000000,33.8300000000,10338560003.0000000000,300701690.0000000000,0.0269000000,103.3856000300,AKShare stock_zh_a_spot / 新浪,有色金属,工业金属,801055
9,600487,亨通光电,62.1800000000,62.0200000000,10263631641.0000000000,166256614.0000000000,0.0025800000,102.6363164100,AKShare stock_zh_a_spot / 新浪,通信,通信设备,801102
