date,advance,decline,flat,limit_up,limit_down,effective_stocks,total_amount_100m,hot_count,hot_amount_100m,hot_concentration,market_breadth,source
2026-08-11,1502,3689,135,58,1,5326,23098.427689310003,18,2671.0240451200007,0.11563661739435865,-0.4213061067231747,A股每日市场监控_20260814_最终修正版.xlsx/02_统一历史数据 verified migration
2026-08-12,3974,1236,117,92,0,5327,21461.74954453,14,2097.6356960000003,0.09773833636664672,0.5255278310940499,A股每日市场监控_20260814_最终修正版.xlsx/02_统一历史数据 verified migration
2026-08-13,1087,4166,77,59,4,5330,25484.53569867,23,3365.6810269699995,0.1320675827398201,-0.5861412526175519,A股每日市场监控_20260814_最终修正版.xlsx/02_统一历史数据 verified migration
