日期,开盘价,最高价,最低价,收盘价,成交量,成交额,日收益率,换手率,数据源,20日成交量活跃度代理
2026-01-05,1314.5020000000,1356.2230000000,1313.9870000000,1356.2230000000,4384398400,83828982000.0000000000,,,同花顺概念指数历史,1.0000000000
2026-01-06,1360.2870000000,1364.5630000000,1353.6720000000,1362.6930000000,4131031700,72981030000.0000000000,0.0047706019,,同花顺概念指数历史,0.9702461653
2026-01-07,1363.4370000000,1379.4730000000,1363.3920000000,1372.7090000000,3919597400,79004554000.0000000000,0.0073501515,,同花顺概念指数历史,0.9456185119
2026-01-08,1374.2110000000,1392.6360000000,1374.2110000000,1387.8610000000,4237186100,78834946000.0000000000,0.0110380277,,同花顺概念指数历史,1.0165863278
2026-01-09,1388.2670000000,1416.7300000000,1385.8800000000,1416.0520000000,4915248700,91837428000.0000000000,0.0203125529,,同花顺概念指数历史,1.1384498631
2026-01-12,1420.5660000000,1423.5740000000,1407.7140000000,1422.0810000000,5245420700,97994621000.0000000000,0.0042576120,,同花顺概念指数历史,1.1729087851
2026-01-13,1433.0410000000,1466.3790000000,1430.9910000000,1445.4310000000,7310007700,136242310000.0000000000,0.0164195992,,同花顺概念指数历史,1.4987030345
2026-01-14,1440.6130000000,1465.5360000000,1423.1610000000,1443.4400000000,7881443100,136555570000.0000000000,-0.0013774438,,同花顺概念指数历史,1.5003579854
2026-01-15,1433.0850000000,1440.3320000000,1417.6360000000,1423.2890000000,4799094200,81984580000.0000000000,-0.0139604002,,同花顺概念指数历史,0.9224409584
2026-01-16,1426.4780000000,1428.7210000000,1404.2560000000,1408.8360000000,4268867800,77171890000.0000000000,-0.0101546488,,同花顺概念指数历史,0.8355208419
2026-01-19,1405.7810000000,1415.3100000000,1403.5280000000,1411.7270000000,3561474200,67956846000.0000000000,0.0020520486,,同花顺概念指数历史,0.7168072065
2026-01-20,1412.2300000000,1414.6200000000,1398.3120000000,1405.9070000000,3733581400,69724968000.0000000000,-0.0041226101,,同花顺概念指数历史,0.7673404552
2026-01-21,1400.5360000000,1414.7840000000,1393.5310000000,1407.5900000000,3683301400,65270427000.0000000000,0.0011970920,,同花顺概念指数历史,0.7714260450
2026-01-22,1407.6980000000,1410.3050000000,1400.9440000000,1404.2550000000,3536179400,63140024000.0000000000,-0.0023692979,,同花顺概念指数历史,0.7545938424
2026-01-23,1410.0400000000,1426.8550000000,1407.8940000000,1426.5360000000,4663925900,80274845000.0000000000,0.0158667763,,同花顺概念指数历史,0.9955618865
2026-01-26,1430.6760000000,1444.2180000000,1414.3650000000,1438.5250000000,7096603700,112290307000.0000000000,0.0084042744,,同花顺概念指数历史,1.4676170488
2026-01-27,1437.5700000000,1437.5700000000,1391.4400000000,1417.6180000000,6144630800,95791557000.0000000000,-0.0145336369,,同花顺概念指数历史,1.2508230297
2026-01-28,1414.2980000000,1415.3690000000,1392.1120000000,1393.5860000000,4691983200,81157604000.0000000000,-0.0169523807,,同花顺概念指数历史,0.9575044303
2026-01-29,1388.1610000000,1398.3810000000,1373.5830000000,1383.2260000000,4331994200,79845671000.0000000000,-0.0074340586,,同花顺概念指数历史,0.8894691416
2026-01-30,1382.6630000000,1397.2320000000,1365.9930000000,1374.2540000000,4253929000,73602123000.0000000000,-0.0064862864,,同花顺概念指数历史,0.8790026736
2026-02-02,1365.9260000000,1376.9010000000,1341.0650000000,1341.4580000000,3840442600,67414495000.0000000000,-0.0238645840,,同花顺概念指数历史,0.7980476833
2026-02-03,1350.4700000000,1362.0610000000,1341.1680000000,1362.0510000000,3029225300,54818192000.0000000000,0.0153512074,,同花顺概念指数历史,0.6367655227
2026-02-04,1359.2970000000,1373.5900000000,1355.2020000000,1372.8380000000,3048169500,56390033000.0000000000,0.0079196741,,同花顺概念指数历史,0.6466706082
2026-02-05,1371.2620000000,1378.9650000000,1369.8940000000,1372.4750000000,2942018100,58825581000.0000000000,-0.0002644158,,同花顺概念指数历史,0.6328448938
2026-02-06,1379.7120000000,1395.9690000000,1379.2890000000,1380.3090000000,4427077700,72646951000.0000000000,0.0057079364,,同花顺概念指数历史,0.9573160039
2026-02-09,1385.9830000000,1392.2400000000,1384.5160000000,1390.6980000000,3579421700,59901733000.0000000000,0.0075265756,,同花顺概念指数历史,0.7882159987
2026-02-10,1392.0900000000,1409.0670000000,1387.2320000000,1397.5370000000,3437086900,63701125000.0000000000,0.0049176744,,同花顺概念指数历史,0.7905851887
2026-02-11,1397.9750000000,1400.6940000000,1389.7400000000,1389.9490000000,2824015200,48976092000.0000000000,-0.0054295521,,同花顺概念指数历史,0.6896839619
2026-02-12,1389.5020000000,1389.7650000000,1377.1540000000,1377.4190000000,2881807000,50125065000.0000000000,-0.0090147192,,同花顺概念指数历史,0.7206703383
2026-02-13,1377.7810000000,1382.9420000000,1364.8280000000,1365.0020000000,2507973200,43604869000.0000000000,-0.0090146862,,同花顺概念指数历史,0.6413036675
2026-02-24,1376.3530000000,1377.2340000000,1367.3170000000,1372.6450000000,2605666100,45548152000.0000000000,0.0055992592,,同花顺概念指数历史,0.6745272423
2026-02-25,1374.2990000000,1384.7330000000,1372.3900000000,1384.4180000000,3047109500,51437434000.0000000000,0.0085768717,,同花顺概念指数历史,0.7958750456
2026-02-26,1385.0020000000,1386.2260000000,1370.9220000000,1373.7280000000,3038843800,53711835000.0000000000,-0.0077216563,,同花顺概念指数历史,0.8004529780
2026-02-27,1371.4070000000,1379.8240000000,1368.8490000000,1379.5570000000,2618077300,45768094000.0000000000,0.0042431981,,同花顺概念指数历史,0.6980608654
2026-03-02,1362.9110000000,1367.7250000000,1336.4490000000,1344.3300000000,3929369300,66591927000.0000000000,-0.0255350087,,同花顺概念指数历史,1.0580533978
2026-03-03,1345.6500000000,1352.7310000000,1306.2220000000,1307.0260000000,3782081700,64889494000.0000000000,-0.0277491390,,同花顺概念指数历史,1.0659618246
2026-03-04,1299.2410000000,1312.2980000000,1290.0060000000,1296.7770000000,3000192500,50739447000.0000000000,-0.0078414660,,同花顺概念指数历史,0.8847974215
2026-03-05,1312.7260000000,1320.1180000000,1303.6200000000,1309.9550000000,2561281500,45033529000.0000000000,0.0101621173,,同花顺概念指数历史,0.7798587208
2026-03-06,1306.8460000000,1347.4380000000,1305.5520000000,1346.9500000000,3171813600,55901134000.0000000000,0.0282414281,,同花顺概念指数历史,0.9831178714
2026-03-09,1332.8480000000,1342.8060000000,1322.5380000000,1339.8370000000,3322661900,55904004000.0000000000,-0.0052808196,,同花顺概念指数历史,1.0449553192
