日期,收盘价,成交量,成交额,日收益率,换手率,数据源,20日成交量活跃度代理
2026-01-05,1512.2600000000,28480222.0000000000,60295035333.0000000000,0.0398000000,0.0189000000,东方财富创新药BK1106历史K线直连,1.0000000000
2026-01-06,1520.1500000000,24886756.0000000000,48316351848.0000000000,0.0052000000,0.0165000000,东方财富创新药BK1106历史K线直连,0.9326649899
2026-01-07,1538.1600000000,24606332.0000000000,54898420457.0000000000,0.0118000000,0.0163000000,东方财富创新药BK1106历史K线直连,0.9467213332
2026-01-08,1553.8600000000,26564159.0000000000,53790772264.0000000000,0.0102000000,0.0176000000,东方财富创新药BK1106历史K线直连,1.0164454622
2026-01-09,1592.7700000000,29986114.0000000000,62824549670.0000000000,0.0250000000,0.0199000000,东方财富创新药BK1106历史K线直连,1.1145300077
2026-01-12,1597.2400000000,33157732.0000000000,67361524919.0000000000,0.0028000000,0.0220000000,东方财富创新药BK1106历史K线直连,1.1864553424
2026-01-13,1622.9100000000,44109660.0000000000,93185016918.0000000000,0.0161000000,0.0293000000,东方财富创新药BK1106历史K线直连,1.4578884676
2026-01-14,1622.8300000000,47663739.0000000000,92835235687.0000000000,0.0000000000,0.0317000000,东方财富创新药BK1106历史K线直连,1.4696588323
2026-01-15,1596.4900000000,29826542.0000000000,56360140038.0000000000,-0.0162000000,0.0198000000,东方财富创新药BK1106历史K线直连,0.9279511632
2026-01-16,1580.3700000000,27478294.0000000000,54330311929.0000000000,-0.0101000000,0.0182000000,东方财富创新药BK1106历史K线直连,0.8674811541
2026-01-19,1580.1600000000,22313429.0000000000,47697889687.0000000000,-0.0001000000,0.0148000000,东方财富创新药BK1106历史K线直连,0.7238787347
2026-01-20,1572.3700000000,23695969.0000000000,48806169711.0000000000,-0.0049000000,0.0157000000,东方财富创新药BK1106历史K线直连,0.7838367357
2026-01-21,1575.5300000000,23192024.0000000000,45295439178.0000000000,0.0020000000,0.0154000000,东方财富创新药BK1106历史K线直连,0.7811575104
2026-01-22,1567.7800000000,22674494.0000000000,44935412543.0000000000,-0.0049000000,0.0151000000,东方财富创新药BK1106历史K线直连,0.7768364286
2026-01-23,1595.4200000000,29085883.0000000000,56188853087.0000000000,0.0176000000,0.0193000000,东方财富创新药BK1106历史K线直连,0.9967259902
2026-01-26,1602.1400000000,42888573.0000000000,73972546170.0000000000,0.0042000000,0.0285000000,东方财富创新药BK1106历史K线直连,1.4278048300
2026-01-27,1579.4100000000,39437045.0000000000,63733483014.0000000000,-0.0142000000,0.0262000000,东方财富创新药BK1106历史K线直连,1.2891715702
2026-01-28,1552.9000000000,29234035.0000000000,55842257146.0000000000,-0.0168000000,0.0194000000,东方财富创新药BK1106历史K线直连,0.9580026036
2026-01-29,1541.0000000000,26945880.0000000000,55072865951.0000000000,-0.0077000000,0.0179000000,东方财富创新药BK1106历史K线直连,0.8884898223
2026-01-30,1530.7000000000,27925798.0000000000,52547938959.0000000000,-0.0067000000,0.0185000000,东方财富创新药BK1106历史K线直连,0.9244616113
2026-02-02,1489.9400000000,24920782.0000000000,47401965698.0000000000,-0.0266000000,0.0166000000,东方财富创新药BK1106历史K线直连,0.8298722110
2026-02-03,1513.9200000000,20109942.0000000000,39256164674.0000000000,0.0161000000,0.0134000000,东方财富创新药BK1106历史K线直连,0.6750381870
2026-02-04,1526.6300000000,20006696.0000000000,40181990760.0000000000,0.0084000000,0.0133000000,东方财富创新药BK1106历史K线直连,0.6767972878
2026-02-05,1524.7200000000,18925353.0000000000,40021070775.0000000000,-0.0013000000,0.0126000000,东方财富创新药BK1106历史K线直连,0.6485972233
2026-02-06,1532.3300000000,28484760.0000000000,48784704241.0000000000,0.0050000000,0.0189000000,东方财富创新药BK1106历史K线直连,0.9787288660
2026-02-09,1543.1200000000,21768042.0000000000,39650562508.0000000000,0.0070000000,0.0145000000,东方财富创新药BK1106历史K线直连,0.7628715667
2026-02-10,1553.2900000000,20365635.0000000000,43871302048.0000000000,0.0066000000,0.0135000000,东方财富创新药BK1106历史K线直连,0.7447078824
2026-02-11,1542.9400000000,15724298.0000000000,32559799564.0000000000,-0.0067000000,0.0104000000,东方财富创新药BK1106历史K线直连,0.6106482303
2026-02-12,1529.4000000000,16636985.0000000000,33640737334.0000000000,-0.0088000000,0.0110000000,东方财富创新药BK1106历史K线直连,0.6630738780
