日期,收盘价,成交量,成交额,日收益率,换手率,数据源,20日成交量活跃度代理,date,amount_100m,market_amount_100m,amount_share_of_a
2026-07-24,1342.6600000000,38857481.0000000000,67685455279.0000000000,-0.0421000000,0.0258000000,东方财富创新药BK1106历史K线直连,0.8315966173,2026-07-24,676.8545527900,19203.6492246900,0.0352461423
2026-07-27,1388.6600000000,38090685.0000000000,66017424948.0000000000,0.0343000000,0.0253000000,东方财富创新药BK1106历史K线直连,0.8164888031,2026-07-27,660.1742494800,19257.5728664000,0.0342812801
2026-07-28,1369.0900000000,38657304.0000000000,59687369377.0000000000,-0.0141000000,0.0257000000,东方财富创新药BK1106历史K线直连,0.8256510597,2026-07-28,596.8736937700,20146.5149243600,0.0296266474
2026-07-29,1372.0500000000,39611513.0000000000,66036023410.0000000000,0.0022000000,0.0263000000,东方财富创新药BK1106历史K线直连,0.8512551488,2026-07-29,660.3602341000,22990.7300000000,0.0287228911
2026-07-30,1339.5600000000,40685701.0000000000,66546441317.0000000000,-0.0237000000,0.0270000000,东方财富创新药BK1106历史K线直连,0.8753602596,2026-07-30,665.4644131700,23449.8573270000,0.0283781860
2026-07-31,1364.6400000000,37119223.0000000000,62946514713.0000000000,0.0187000000,0.0247000000,东方财富创新药BK1106历史K线直连,0.8015470640,2026-07-31,629.4651471300,25477.0105690000,0.0247071824
2026-08-03,1364.6100000000,30952326.0000000000,54169981088.0000000000,0.0000000000,0.0206000000,东方财富创新药BK1106历史K线直连,0.6812669268,2026-08-03,541.6998108800,19990.2015020000,0.0270982667
2026-08-04,1397.0400000000,37113336.0000000000,68327175145.0000000000,0.0238000000,0.0246000000,东方财富创新药BK1106历史K线直连,0.8155010633,2026-08-04,683.2717514500,22092.2282410000,0.0309281501
2026-08-05,1408.9500000000,40883189.0000000000,81260248163.0000000000,0.0085000000,0.0272000000,东方财富创新药BK1106历史K线直连,0.8910315184,2026-08-05,812.6024816300,26618.5682594200,0.0305276555
2026-08-06,1406.4000000000,41558451.0000000000,78546633339.0000000000,-0.0018000000,0.0276000000,东方财富创新药BK1106历史K线直连,0.8998483314,2026-08-06,785.4663333900,25291.4596136400,0.0310565837
2026-08-07,1482.8200000000,55065279.0000000000,112898401493.0000000000,0.0543000000,0.0366000000,东方财富创新药BK1106历史K线直连,1.1772632727,2026-08-07,1128.9840149300,,
2026-08-10,1498.6500000000,55727279.0000000000,126227825107.0000000000,0.0107000000,0.0370000000,东方财富创新药BK1106历史K线直连,1.1784773754,2026-08-10,1262.2782510700,25207.9314391400,0.0500746463
2026-08-11,1513.9100000000,61739256.0000000000,121436370726.0000000000,0.0102000000,0.0410000000,东方财富创新药BK1106历史K线直连,1.2892609218,2026-08-11,1214.3637072600,,
2026-08-12,1518.2500000000,57140304.0000000000,100678512545.0000000000,0.0029000000,0.0379000000,东方财富创新药BK1106历史K线直连,1.2005217414,2026-08-12,1006.7851254500,,
2026-08-13,1546.6700000000,70817912.0000000000,129316966098.0000000000,0.0187000000,0.0470000000,东方财富创新药BK1106历史K线直连,1.4768123588,2026-08-13,1293.1696609800,,
2026-08-14,1538.3900000000,65909757.0000000000,103727030799.0000000000,-0.0054000000,0.0438000000,东方财富创新药BK1106历史K线直连,1.3777290137,2026-08-14,1037.2703079900,21415.4089419200,0.0484356993
