rank,stock_code,stock_name,close,prev_close,amount_yuan,volume,return,amount_100m,snapshot_source,sw_level1,sw_level2,sw_level2_code
1,300308,中际旭创,895.6000000000,988.1000000000,32882411980.0000000000,35801170.0000000000,-0.0936100000,328.8241198000,AKShare stock_zh_a_spot / 新浪,通信,通信设备,801102
2,603986,兆易创新,403.7100000000,436.7400000000,26918983040.0000000000,66280613.0000000000,-0.0756300000,269.1898304000,AKShare stock_zh_a_spot / 新浪,电子,半导体,801081
3,688825,长鑫科技,57.5500000000,59.1900000000,26268310255.0000000000,460638573.0000000000,-0.0277100000,262.6831025500,AKShare stock_zh_a_spot / 新浪,电子,半导体,801081
4,300502,新易盛,411.5000000000,452.2100000000,22898868703.0000000000,54001574.0000000000,-0.0900200000,228.9886870300,AKShare stock_zh_a_spot / 新浪,通信,通信设备,801102
5,300394,天孚通信,277.4000000000,291.4400000000,17560184987.0000000000,63165195.0000000000,-0.0481700000,175.6018498700,AKShare stock_zh_a_spot / 新浪,通信,通信设备,801102
6,688256,寒武纪,1050.4900000000,1162.5000000000,17003021919.0000000000,15746396.0000000000,-0.0963500000,170.0302191900,AKShare stock_zh_a_spot / 新浪,电子,半导体,801081
7,000725,京东方Ａ,6.0100000000,6.4700000000,16314023172.0000000000,2647315428.0000000000,-0.0711000000,163.1402317200,AKShare stock_zh_a_spot / 新浪,电子,光学光电子,801084
8,002384,东山精密,197.1000000000,213.8200000000,14750599926.0000000000,72944686.0000000000,-0.0782000000,147.5059992600,AKShare stock_zh_a_spot / 新浪,电子,元件,801083
9,600487,亨通光电,58.9100000000,65.4100000000,14023209580.0000000000,230701040.0000000000,-0.0993700000,140.2320958000,AKShare stock_zh_a_spot / 新浪,通信,通信设备,801102
10,600584,长电科技,77.7400000000,85.4200000000,12692138756.0000000000,159170816.0000000000,-0.0899100000,126.9213875600,AKShare stock_zh_a_spot / 新浪,电子,半导体,801081
11,600176,中国巨石,40.5600000000,44.9100000000,11435019089.0000000000,273704121.0000000000,-0.0968600000,114.3501908900,AKShare stock_zh_a_spot / 新浪,建筑材料,玻璃玻纤,801712
12,002428,云南锗业,104.7000000000,108.3000000000,10997893427.0000000000,103568539.0000000000,-0.0332400000,109.9789342700,AKShare stock_zh_a_spot / 新浪,有色金属,小金属,801054
13,600206,有研新材,58.8700000000,57.7200000000,10645160626.0000000000,182955101.0000000000,0.0199200000,106.4516062600,AKShare stock_zh_a_spot / 新浪,电子,半导体,801081
14,688008,澜起科技,200.0000000000,218.0000000000,10401047973.0000000000,51063762.0000000000,-0.0825700000,104.0104797300,AKShare stock_zh_a_spot / 新浪,电子,半导体,801081
15,600183,生益科技,125.4700000000,139.4100000000,10133149458.0000000000,78292528.0000000000,-0.0999900000,101.3314945800,AKShare stock_zh_a_spot / 新浪,电子,元件,801083
