code,name,price,change,change_5d,change_20d,change_60d,ytd,amount_yi,turnover,pe_ttm,pb,mcap_yi,data_status,source
801790,非银金融(申万),1721.22,0.005932,-0.007015,-0.028295,0.018522,-0.162073,355.01501477,0.007,10.28,111.83,69267.579377,ok,我的自选-行情报价（行业指数）(1).xlsx
801150,医药生物(申万),8018.11,-0.034836,-0.023814,0.084909,0.076662,-0.008226,1155.41660463,0.0209,45.62,55.62,65968.56076392,ok,我的自选-行情报价（行业指数）(1).xlsx
801880,汽车(申万),6413.86,0.003260,-0.015328,0.040772,-0.158357,-0.195946,567.63668757,0.0193,28.66,395.61,43041.15941707,ok,我的自选-行情报价（行业指数）(1).xlsx
801738,电网设备(申万),5496.43,0.008771,-0.012402,0.048623,-0.200285,0.002254,408.87233841,0.0323,35.7,58.29,16289.52873834,ok,我的自选-行情报价（行业指数）(1).xlsx
802095,机器人,20247.05,0.007904,-0.031718,0.070909,-0.194824,0.203879,75.03407073460001,0.0277,49.92,4.34,3490.79997312,ok,我的自选-行情报价（行业指数）(1).xlsx
801193,证券Ⅱ(申万),6014.03,0.000363,-0.022214,-0.036266,0.030474,-0.132549,237.67448061,0.0076,14.96,58.18,36034.78378882,ok,我的自选-行情报价（行业指数）(1).xlsx
000941,新能源,2252.02,-0.0157,0.0236,0.0236,-0.2498,-0.125,565.2565309,0.0,0.0,0.0,0.0,stale,我的自选-行情报价（行业指数）(1).xlsx
399808,中证新能,2463.89,0.013167,-0.019347,0.047586,-0.216160,-0.124725,960.8302242812,0.0137,34.79,2.53,59647.19504384,stale,我的自选-行情报价（行业指数）(1).xlsx
801730,电力设备(申万),9458.32,0.013174,-0.017033,0.053040,-0.196301,-0.062440,1601.99365609,0.0257,51.27,17.93,77943.67996747,ok,我的自选-行情报价（行业指数）(1).xlsx
801760,传媒(申万),664.90,-0.007419,-0.055392,0.092507,-0.100575,-0.188840,582.64804929,0.0364,55.55,3757.7,14904.00274535,ok,我的自选-行情报价（行业指数）(1).xlsx
801071,电气设备,3846.35,-0.020046,0.038283,0.141343,0.141326,,162.9733,0.0,0.0,0.0,0.0,ok,我的自选-行情报价（行业指数）(1).xlsx
H30533,中国互联网50人民币,7435.34,-0.0227,0.0158,0.0158,-0.0418,-0.2362,218.893539395,0.0,0.0,0.0,0.0,stale,我的自选-行情报价（行业指数）(1).xlsx
931646,SHS新消费人民币,1466.36,-0.023,-0.0029,-0.0029,-0.0797,-0.2416,499.55019056699996,0.0,0.0,0.0,0.0,stale,我的自选-行情报价（行业指数）(1).xlsx
HSTECH,恒生科技指数,4766.16,0.013962,0.012435,0.029517,-0.028815,-0.135936,500.22698541,0.0,0.0,0.0,0.0,stale,我的自选-行情报价（行业指数）(1).xlsx
931637,港股通互联网,778.78,-0.0243,0.0026,0.0026,-0.1008,-0.2535,258.586533889,0.0,0.0,0.0,0.0,stale,我的自选-行情报价（行业指数）(1).xlsx
