instrument_id,code,exchange,name,industry,price,change,change_5d,change_20d,ytd,amount_yi,mcap_yi,turnover,pe_ttm,pb,data_status
legacy:芯源微,688037,SH,芯源微,半导体,375.00,0.005800,0.020200,0.312272,1.525695,18.37,756.62,0.024700,4692.44,26.83,ok
legacy:长川科技,300604,SZ,长川科技,半导体,284.80,0.031100,0.032900,0.160081,1.813951,40.04,1838.62,0.029100,130.38,22.64,ok
legacy:科伦博泰生物,06990,HK,科伦博泰生物,生物科技Ⅲ[HK],524.50,0.007700,-0.015900,0.090437,0.337328,3.19,1253.68,0.003400,684.99,19.90,ok
legacy:协创数据,300857,SZ,协创数据,计算机设备,259.20,0.097200,0.047800,0.382474,1.155635,52.55,1268.43,0.043100,34.05,20.84,ok
legacy:长芯博创,300548,SZ,长芯博创,通信设备,216.01,0.120000,0.058900,0.697391,0.524310,49.72,636.81,0.079400,99.06,30.47,ok
legacy:博迁新材,605376,SH,博迁新材,能源金属,153.64,0.048300,0.038000,0.154147,1.352833,14.74,401.92,0.037300,140.28,23.18,ok
legacy:长鑫科技,688825,SH,长鑫科技,半导体,59.12,0.053800,0.026900,0.118214,,188.39,40133.08,0.072100,40.52,28.80,ok
legacy:鼎泰高科,301377,SZ,鼎泰高科,通用设备,416.97,0.056700,0.012100,0.252162,2.008442,12.37,1768.14,0.030600,130.18,56.61,ok
legacy:中船特气,688146,SH,中船特气,电子化学品,258.50,0.067700,-0.009100,-0.091835,5.429708,39.39,1368.53,0.107600,196.69,22.78,ok
legacy:海光信息,688041,SH,海光信息,半导体,245.97,0.065000,-0.001500,-0.100395,0.097248,76.43,5717.17,0.013500,158.95,22.53,ok
legacy:新易盛,300502,SZ,新易盛,通信设备,409.10,0.025900,-0.011900,0.102398,0.332326,148.74,5703.90,0.029100,37.88,23.48,ok
legacy:光库科技,300620,SZ,光库科技,通信设备,300.90,0.055800,-0.032400,0.573827,1.049030,34.03,749.78,0.046600,252.63,33.21,ok
legacy:仕佳光子,688313,SH,仕佳光子,通信设备,159.14,0.064400,-0.029600,0.895201,0.798599,34.82,719.29,0.049100,114.25,41.89,ok
legacy:行云科技,300209,SZ,行云科技,互联网电商,35.48,0.016000,0.077800,0.359387,5.510092,25.80,329.48,0.098100,1371.08,35.06,ok
legacy:宏景科技,301396,SZ,宏景科技,IT服务,181.38,0.052500,-0.045400,0.393837,2.841657,27.73,389.83,0.109900,322.09,32.28,ok
legacy:芯原股份,688521,SH,芯原股份,半导体,193.70,0.073100,0.085900,0.138006,0.414178,50.90,1018.70,0.051300,-83.21,34.82,ok
legacy:云南锗业,002428,SZ,云南锗业,小金属,101.36,0.084400,-0.021200,0.640129,2.193447,84.58,662.00,0.131200,1817.27,45.26,ok
legacy:天孚通信,300394,SZ,天孚通信,通信设备,267.16,0.053600,-0.032900,0.668707,0.848577,138.29,2914.25,0.047700,120.99,46.64,ok
legacy:杰华特,688141,SH,杰华特,半导体,129.55,0.076000,0.063500,0.315629,1.982961,23.85,583.39,0.042400,-56.10,53.52,ok
legacy:罗博特科,300757,SZ,罗博特科,自动化设备,552.11,0.043900,0.097400,0.542077,1.366524,38.84,925.38,0.043700,7056.60,55.59,ok
legacy:宏和科技,603256,SH,宏和科技,电子化学品,140.76,0.051100,0.024500,0.124640,2.831038,18.80,1273.30,0.015400,167.77,43.17,ok
legacy:上纬新材,688585,SH,上纬新材,塑料制品,159.88,0.107200,0.126700,0.167178,0.255241,9.07,644.89,0.014800,-193.62,54.78,ok
legacy:寒武纪,688256,SH,寒武纪,半导体,1048.00,0.027500,0.036700,0.005343,0.153222,95.33,6590.39,0.014500,142.59,47.35,ok
legacy:源杰科技,688498,SH,源杰科技,半导体,1630.99,0.059100,0.055700,0.604042,2.684205,58.72,2030.59,0.029800,282.90,82.38,ok
legacy:盛科通信-U,688702,SH,盛科通信-U,半导体,380.40,0.030400,0.020000,0.251357,1.684734,26.36,1559.64,0.034500,-4439.32,69.30,ok
legacy:联讯仪器,688808,SH,联讯仪器,通用设备,2319.00,0.026600,0.002200,0.509766,,23.52,2380.84,0.052500,209.90,70.28,ok
legacy:智谱,02513,HK,智谱,IT服务[HK],1160.00,0.126200,0.133900,0.345708,,76.54,5401.23,0.028400,-103.84,-5.22,ok
CN.SSE.600276,600276,SSE,恒瑞医药,化学制药,47.61,0.018600,-0.038200,-0.128820,-0.198080,36.67,3159.97,0.012200,35.38,4.90,ok
