date,name,code,close,return,amount_100m,source,status
2026-08-10,上证50,1.000016,2967.7332,0.0024689,2097.6947423,Choice指数日行情历史修复,ok_choice_history_backfill
2026-08-10,中证2000,2.932000,3120.8289,0.01152964,4427.31174083,Choice指数日行情历史修复,ok_choice_history_backfill
2026-08-10,中证全指,1.000985,6009.5336,0.00522396,24470.51479411,Choice指数日行情历史修复,ok_choice_history_backfill
2026-08-11,上证50,1.000016,2929.9291,-0.01273838,1815.12240624,Choice指数日行情历史修复,ok_choice_history_backfill
2026-08-11,中证2000,2.932000,3105.7378,-0.00483561,4090.64359552,Choice指数日行情历史修复,ok_choice_history_backfill
2026-08-11,中证全指,1.000985,5966.5851,-0.00714673,22504.54136597,Choice指数日行情历史修复,ok_choice_history_backfill
2026-08-12,上证50,1.000016,2938.385,0.00288604,1558.42126262,Choice指数日行情历史修复,ok_choice_history_backfill
2026-08-12,中证2000,2.932000,3159.9817,0.0174657,3942.30743341,Choice指数日行情历史修复,ok_choice_history_backfill
2026-08-12,中证全指,1.000985,6024.0456,0.00963038,20787.58991092,Choice指数日行情历史修复,ok_choice_history_backfill
2026-08-13,上证50,1.000016,2928.12,-0.0035,1901.77260859,东方财富历史K线批量直连 verified acceptance run,ok_bulk_history_verified
2026-08-13,中证2000,2.932000,3124.79,-0.0111,4686.3164,东方财富历史K线直连（中证2000回填）,ok
2026-08-13,中证全指,1.000985,5973.27,-0.0084,24721.77033941,东方财富历史K线批量直连 verified acceptance run,ok_bulk_history_verified
2026-08-14,上证50,1.000016,2916.13,-0.0041,1523.71929566,2026-08-14 validated daily production,ok_current_quote_validated
2026-08-14,中证2000,2.932000,3149.14,0.0078,4171.0134,东方财富历史K线直连（中证2000回填）,ok
2026-08-14,中证全指,1.000985,5991.02,0.003,20797.76591782,2026-08-14 validated daily production,ok_current_quote_validated
2026-08-17,上证50,1.000016,2945.41,0.01,1789.15942798,腾讯 qt.gtimg.cn 实时回退,ok
2026-08-17,中证2000,2.932000,3225.64,0.0243,4451.1501,东方财富历史K线直连（中证2000回填）,ok
2026-08-17,中证全指,1.000985,6112.7,0.0203,23028.23869138,腾讯 qt.gtimg.cn 实时回退,ok
2026-08-18,上证50,1.000016,2940.7008,-0.00159934,1673.77099177,Choice指数日行情历史修复,ok_choice_history_backfill
2026-08-18,中证2000,2.932000,3217.1122,-0.00264255,4532.33824805,Choice指数日行情历史修复,ok_choice_history_backfill
2026-08-18,中证全指,1.000985,6097.5015,-0.00248615,23175.69248036,Choice指数日行情历史修复,ok_choice_history_backfill
2026-08-19,上证50,1.000016,2895.57,-0.015300000000000001,1935.74003858,东方财富轻量指数报价 / api/qt/stock/get,ok_current_quote_hard_timeout
2026-08-19,中证2000,2.932000,3037.11,-0.055999999999999994,4528.39138,东方财富轻量指数报价 / api/qt/stock/get,ok_current_quote_hard_timeout
2026-08-19,中证全指,1.000985,5846.42,-0.0412,24063.82697378,东方财富轻量指数报价 / api/qt/stock/get,ok_current_quote_hard_timeout
2026-08-20,上证50,1.000016,2881.4428,-0.00487777,1692.33700578,Choice指数日行情历史修复,ok_choice_history_backfill
2026-08-20,中证2000,2.932000,3084.5852,0.0156313,3895.53015048,Choice指数日行情历史修复,ok_choice_history_backfill
2026-08-20,中证全指,1.000985,5882.464,0.00616487,20094.16122709,Choice指数日行情历史修复,ok_choice_history_backfill
2026-08-21,上证50,1.000016,2883.5477,0.0007305,1376.10106439,Choice指数日行情历史修复,ok_choice_history_backfill
2026-08-21,中证2000,2.932000,3091.3694,0.00219939,3562.03000796,Choice指数日行情历史修复,ok_choice_history_backfill
2026-08-21,中证全指,1.000985,5902.1056,0.00333901,18183.34872509,Choice指数日行情历史修复,ok_choice_history_backfill
2026-08-24,上证50,1.000016,2870.8031,-0.00441976,1748.21699434,Choice指数日行情历史修复,ok_choice_history_backfill
2026-08-24,中证2000,2.932000,3045.137,-0.01495531,3668.52223332,Choice指数日行情历史修复,ok_choice_history_backfill
2026-08-24,中证全指,1.000985,5818.5117,-0.0141634,19454.41259189,Choice指数日行情历史修复,ok_choice_history_backfill
2026-08-25,上证50,1.000016,2875.51,0.0016,1342.92385727,东方财富轻量指数报价 / api/qt/stock/get,ok_current_quote_hard_timeout
2026-08-25,中证2000,2.932000,3094.29,0.0161,3796.12915959,东方财富轻量指数报价 / api/qt/stock/get,ok_current_quote_hard_timeout
2026-08-25,中证全指,1.000985,5832.92,0.0025,17737.16948705,东方财富轻量指数报价 / api/qt/stock/get,ok_current_quote_hard_timeout
2026-08-26,上证50,1.000016,2905.08,0.0103,1401.52858404,东方财富轻量指数报价 / api/qt/stock/get,ok_current_quote_hard_timeout
2026-08-26,中证2000,2.932000,3091.34,-0.001,3717.39585298,东方财富轻量指数报价 / api/qt/stock/get,ok_current_quote_hard_timeout
2026-08-26,中证全指,1.000985,5867.44,0.0059,17507.98139763,东方财富轻量指数报价 / api/qt/stock/get,ok_current_quote_hard_timeout
