date,rank,stock_code,stock_name,close,return,amount_100m,sw_level1,sw_level2
2026-07-29,1,688825,长鑫科技,52.95,0.126596,448.1398,电子,半导体
2026-07-29,2,300308,中际旭创,951.0,0.047357,435.1002,通信,通信设备
2026-07-29,3,603986,兆易创新,364.03,-0.068095,324.39,电子,半导体
2026-07-29,4,300502,新易盛,421.2,0.035144,269.1458,通信,通信设备
2026-07-29,5,002384,东山精密,179.78,-0.057312,226.5158,电子,元件
2026-07-29,6,688256,寒武纪,1146.9,0.016755,159.9205,电子,半导体
2026-07-29,7,300750,宁德时代,396.84,0.0153,159.2625,电力设备,电池
2026-07-29,8,688012,中微公司,360.0,-0.060052,135.5436,电子,半导体
2026-07-29,9,000938,紫光股份,37.33,-0.100048,132.7318,计算机,IT服务Ⅱ
2026-07-29,10,688008,澜起科技,207.5,0.008996,128.8093,电子,半导体
2026-07-29,11,002156,通富微电,62.1,-0.1,124.8517,电子,半导体
2026-07-29,12,600584,长电科技,71.68,-0.067031,120.7099,电子,半导体
2026-07-29,13,002371,北方华创,706.39,-0.012042,109.2979,电子,半导体
2026-07-29,14,300408,三环集团,108.89,0.079937,100.7941,电子,元件
2026-07-30,1,300308,中际旭创,864.0,-0.0915,597.7268,通信,通信设备
2026-07-30,2,688825,C长鑫,52.87,-0.0015,447.0553,未匹配,未匹配
2026-07-30,3,300502,新易盛,371.1,-0.1189,361.3073,通信,通信设备
2026-07-30,4,603986,兆易创新,371.1,0.0194,354.8379,电子,半导体
2026-07-30,5,688256,寒武纪,1042.43,-0.0911,199.1793,电子,半导体
2026-07-30,6,300750,宁德时代,401.88,0.0127,181.0346,电力设备,电池
2026-07-30,7,002384,东山精密,161.8,-0.1,174.8707,电子,元件
2026-07-30,8,000636,风华高科,50.5,0.0629,131.5727,电子,元件
2026-07-30,9,000725,京东方Ａ,5.36,-0.0613,119.9021,电子,光学光电子
2026-07-30,10,688012,中微公司,346.5,-0.0375,119.0385,电子,半导体
2026-07-30,11,688008,澜起科技,196.78,-0.0517,118.3032,电子,半导体
2026-07-30,12,300408,三环集团,105.3,-0.033,117.6933,电子,元件
2026-07-30,13,301526,国际复材,32.93,0.0904,115.179,建筑材料,玻璃玻纤
2026-07-30,14,001309,德明利,390.04,0.1,113.6575,电子,半导体
2026-07-30,15,688525,佰维存储,219.84,0.0376,113.567,电子,半导体
2026-07-30,16,300285,国瓷材料,61.28,0.0365,111.6261,电子,电子化学品Ⅱ
2026-07-30,17,002371,北方华创,668.07,-0.0542,111.1429,电子,半导体
2026-07-30,18,688498,源杰科技,1016.8,-0.172,110.3976,电子,半导体
2026-07-30,19,600176,中国巨石,36.63,-0.0458,109.4489,建筑材料,玻璃玻纤
2026-07-30,20,600584,长电科技,64.51,-0.1,106.4738,电子,半导体
2026-07-31,1,300308,中际旭创,902.01,0.044,540.4435,通信,通信设备
2026-07-31,2,688825,C长鑫,53.97,0.0208,503.3716,未匹配,未匹配
2026-07-31,3,603986,兆易创新,378.6,0.0202,340.4347,电子,半导体
2026-07-31,4,300502,新易盛,396.01,0.0671,311.8061,通信,通信设备
2026-07-31,5,002384,东山精密,171.48,0.0598,214.6849,电子,元件
2026-07-31,6,688256,寒武纪,1106.0,0.061,185.5228,电子,半导体
2026-07-31,7,001309,德明利,385.9,-0.0106,173.548,电子,半导体
2026-07-31,8,600176,中国巨石,37.84,0.033,158.0348,建筑材料,玻璃玻纤
2026-07-31,9,300750,宁德时代,395.3,-0.0164,156.0298,电力设备,电池
2026-07-31,10,000938,紫光股份,34.89,0.0384,141.6713,计算机,IT服务Ⅱ
2026-07-31,11,688008,澜起科技,204.9,0.0413,141.3818,电子,半导体
2026-07-31,12,000636,风华高科,49.35,-0.0228,135.8204,电子,元件
2026-07-31,13,688525,佰维存储,225.99,0.028,132.4936,电子,半导体
2026-07-31,14,300408,三环集团,111.68,0.0606,123.3128,电子,元件
2026-07-31,15,300285,国瓷材料,62.04,0.0124,122.5061,电子,电子化学品Ⅱ
2026-07-31,16,688012,中微公司,344.0,-0.0072,119.4435,电子,半导体
2026-07-31,17,000725,京东方Ａ,5.51,0.028,115.9725,电子,光学光电子
2026-07-31,18,301308,江波龙,346.99,0.0242,114.5021,电子,半导体
2026-07-31,19,688766,普冉股份,354.9,0.005,111.5527,电子,半导体
2026-07-31,20,301526,国际复材,31.99,-0.0285,111.1604,建筑材料,玻璃玻纤
2026-07-31,21,600584,长电科技,65.71,0.0186,109.0061,电子,半导体
2026-07-31,22,600487,亨通光电,47.61,0.0087,107.6669,通信,通信设备
2026-07-31,23,002156,通富微电,56.73,0.015,107.478,电子,半导体
2026-07-31,24,002475,立讯精密,57.48,-0.0149,106.9292,电子,消费电子
2026-07-31,25,300223,北京君正,126.81,0.0255,101.1966,电子,半导体
2026-07-31,26,688981,中芯国际,123.99,0.0081,100.6099,电子,半导体
2026-08-03,1,688825,C长鑫,54.99,0.0189,299.8899,未匹配,未匹配
2026-08-03,2,300308,中际旭创,902.5,0.0005,291.4395,通信,通信设备
2026-08-03,3,603986,兆易创新,340.74,-0.1,230.3272,电子,半导体
2026-08-03,4,300502,新易盛,394.08,-0.0049,158.8473,通信,通信设备
2026-08-03,5,688256,寒武纪,1028.0,-0.0705,145.9993,电子,半导体
2026-08-03,6,002384,东山精密,162.81,-0.0506,133.9268,电子,元件
2026-08-03,7,300058,蓝色光标,14.72,0.0258,120.1533,传媒,广告营销
2026-08-03,8,688012,中微公司,309.85,-0.0993,113.1525,电子,半导体
2026-08-03,9,600176,中国巨石,34.06,-0.0999,107.3362,建筑材料,玻璃玻纤
2026-08-03,10,002475,立讯精密,53.71,-0.0656,100.6883,电子,消费电子
2026-08-03,11,300394,天孚通信,180.5,0.0555,100.2933,通信,通信设备
2026-08-04,1,300308,中际旭创,1021.99,0.1324,497.8958,通信,通信设备
2026-08-04,2,300502,新易盛,448.0,0.1368,299.1388,通信,通信设备
2026-08-04,3,688825,C长鑫,55.0,0.0002,277.6326,电子,半导体
2026-08-04,4,603986,兆易创新,356.02,0.0448,221.6588,电子,半导体
2026-08-04,5,688256,寒武纪,1078.21,0.0488,186.0302,电子,半导体
2026-08-04,6,300394,天孚通信,212.0,0.1745,158.7288,通信,通信设备
2026-08-04,7,002384,东山精密,179.09,0.1,153.2903,电子,元件
2026-08-04,8,300058,蓝色光标,15.72,0.0679,119.2441,传媒,广告营销
2026-08-04,9,600487,亨通光电,50.27,0.0612,111.7725,通信,通信设备
2026-08-04,10,603259,药明康德,141.35,0.1,105.0273,医药生物,医疗服务
2026-08-04,11,000636,风华高科,54.33,0.0456,104.2295,电子,元件
2026-08-04,12,300750,宁德时代,395.1,0.0018,103.5181,电力设备,电池
2026-08-04,13,600176,中国巨石,36.19,0.0625,103.0251,建筑材料,玻璃玻纤
2026-08-05,1,300308,中际旭创,947.74,-0.07265,675.10515545,通信,通信设备
2026-08-05,2,300502,新易盛,424.3,-0.0529,364.00926252,通信,通信设备
2026-08-05,3,688825,长鑫科技,54.3,-0.01273,313.79390275,电子,半导体
2026-08-05,4,603986,兆易创新,385.44,0.08264,261.79493914,电子,半导体
2026-08-05,5,002384,东山精密,188.83,0.05439,244.40703484,电子,元件
2026-08-05,6,688256,寒武纪,1136.9,0.05443,205.57102477,电子,半导体
2026-08-05,7,603259,药明康德,147.5,0.04351,197.40160899,医药生物,医疗服务
2026-08-05,8,601138,工业富联,65.92,0.09995,185.53114802,电子,消费电子
2026-08-05,9,600487,亨通光电,54.41,0.08236,182.23584577,通信,通信设备
2026-08-05,10,300394,天孚通信,216.85,0.02288,177.69307345,通信,通信设备
2026-08-05,11,300476,胜宏科技,236.35,0.17121,163.87473364,电子,元件
2026-08-05,12,000938,紫光股份,36.94,0.07634,159.17765833,计算机,IT服务Ⅱ
2026-08-05,13,000725,京东方Ａ,5.97,0.06039,146.55953763,电子,光学光电子
2026-08-05,14,601899,紫金矿业,34.1,0.06164,144.44803367,有色金属,贵金属
2026-08-05,15,688012,中微公司,358.0,0.12671,132.18245229,电子,半导体
2026-08-05,16,000636,风华高科,57.8,0.06387,127.58604779,电子,元件
2026-08-05,17,002475,立讯精密,55.87,0.00703,122.23426528,电子,消费电子
2026-08-05,18,688008,澜起科技,212.0,0.04305,121.69190898,电子,半导体
2026-08-05,19,300750,宁德时代,405.2,0.02556,121.24213246,电力设备,电池
2026-08-05,20,600176,中国巨石,39.28,0.08538,120.82350155,建筑材料,玻璃玻纤
2026-08-05,21,600584,长电科技,68.97,0.05443,120.08296116,电子,半导体
2026-08-05,22,300285,国瓷材料,67.27,0.11781,119.28904717,电子,电子化学品Ⅱ
2026-08-05,23,600522,中天科技,32.0,0.0688,112.33725553,通信,通信设备
2026-08-05,24,300058,蓝色光标,15.73,0.00064,110.61765636,传媒,广告营销
2026-08-05,25,002281,光迅科技,171.55,-0.00447,110.51122652,通信,通信设备
2026-08-05,26,688498,源杰科技,1298.0,-0.01293,108.22281088,电子,半导体
2026-08-05,27,600183,生益科技,122.79,0.09409,105.76713124,电子,元件
2026-08-05,28,001309,德明利,386.24,0.06057,103.9493486,电子,半导体
2026-08-05,29,000988,华工科技,100.43,-0.00219,103.45950821,电子,其他电子Ⅱ
2026-08-05,30,300408,三环集团,128.19,0.0596,100.03928991,电子,元件
2026-08-06,1,300308,中际旭创,955.0,0.00766,397.67147899,通信,通信设备
2026-08-06,2,688825,长鑫科技,51.96,-0.04309,291.51895973,电子,半导体
2026-08-06,3,603986,兆易创新,385.0,-0.00114,233.96310414,电子,半导体
2026-08-06,4,300502,新易盛,421.87,-0.00573,215.52830074,通信,通信设备
2026-08-06,5,300476,胜宏科技,250.15,0.05839,180.122501,电子,元件
2026-08-06,6,300750,宁德时代,388.0,-0.04245,177.50194541,电力设备,电池
2026-08-06,7,600584,长电科技,75.87,0.10004,172.59959743,电子,半导体
2026-08-06,8,601138,工业富联,68.27,0.03565,167.18421116,电子,消费电子
2026-08-06,9,002384,东山精密,187.68,-0.00609,160.95175805,电子,元件
2026-08-06,10,600487,亨通光电,56.15,0.03198,160.26986041,通信,通信设备
2026-08-06,11,300394,天孚通信,225.28,0.03887,147.10774339,通信,通信设备
2026-08-06,12,000938,紫光股份,37.94,0.02707,146.68206633,计算机,IT服务Ⅱ
2026-08-06,13,688256,寒武纪,1168.15,0.02749,143.0386841,电子,半导体
2026-08-06,14,601899,紫金矿业,34.5,0.01173,140.63625579,有色金属,贵金属
2026-08-06,15,600176,中国巨石,40.78,0.03819,133.76976141,建筑材料,玻璃玻纤
2026-08-06,16,300285,国瓷材料,69.53,0.0336,124.89987429,电子,电子化学品Ⅱ
2026-08-06,17,000636,风华高科,58.28,0.0083,122.28600135,电子,元件
2026-08-06,18,603259,药明康德,142.7,-0.03254,111.97821427,医药生物,医疗服务
2026-08-06,19,000725,京东方Ａ,5.96,-0.00168,110.84502,电子,光学光电子
2026-08-06,20,688012,中微公司,361.59,0.01003,106.10439299,电子,半导体
2026-08-06,21,000657,中钨高新,62.5,0.08828,105.22454712,有色金属,小金属
2026-08-07,1,300308,中际旭创,919.87,-0.036785,546.7064,通信,通信设备
2026-08-07,2,603986,兆易创新,417.05,0.083247,305.2129,电子,半导体
2026-08-07,3,688825,长鑫科技,52.48,0.010008,267.0171,电子,半导体
2026-08-07,4,300502,新易盛,420.95,-0.002181,257.935,通信,通信设备
2026-08-07,5,002384,东山精密,195.27,0.040441,200.9889,电子,元件
2026-08-07,6,300476,胜宏科技,280.2,0.120128,197.5066,电子,元件
2026-08-07,7,688256,寒武纪,1199.93,0.027205,187.5291,电子,半导体
2026-08-07,8,600584,长电科技,77.75,0.024779,174.8305,电子,半导体
2026-08-07,9,600487,亨通光电,59.52,0.060018,165.0537,通信,通信设备
2026-08-07,10,600176,中国巨石,44.38,0.088279,154.7138,建筑材料,玻璃玻纤
2026-08-07,11,300394,天孚通信,230.68,0.02397,140.7034,通信,通信设备
2026-08-07,12,603259,药明康德,154.82,0.084933,139.556,医药生物,医疗服务
2026-08-07,13,002281,光迅科技,193.04,0.100006,132.8907,通信,通信设备
2026-08-07,14,000725,京东方A,6.07,0.018456,128.0842,电子,光学光电子
2026-08-07,15,300285,国瓷材料,70.88,0.019416,123.9685,电子,电子化学品Ⅱ
2026-08-07,16,000636,风华高科,58.29,0.000172,118.6107,电子,元件
2026-08-07,17,002428,云南锗业,100.08,0.100022,117.4085,有色金属,小金属
2026-08-07,18,000938,紫光股份,38.0,0.001581,115.2817,计算机,IT服务Ⅱ
2026-08-07,19,600522,中天科技,33.67,0.042738,114.0302,通信,通信设备
2026-08-07,20,300274,阳光电源,114.16,0.069916,112.8661,电力设备,光伏设备
2026-08-07,21,301526,国际复材,38.32,0.088636,112.093,建筑材料,玻璃玻纤
2026-08-07,22,688008,澜起科技,215.52,0.034364,111.4721,电子,半导体
2026-08-07,23,601138,工业富联,68.18,-0.001318,110.1424,电子,消费电子
2026-08-07,24,002407,多氟多,36.54,0.012469,108.7756,基础化工,化学制品
2026-08-07,25,600183,生益科技,139.98,0.100039,107.2935,电子,元件
2026-08-07,26,688525,佰维存储,244.88,0.051258,106.9323,电子,半导体
2026-08-07,27,300408,三环集团,127.39,0.003071,105.7126,电子,元件
2026-08-07,28,300058,蓝色光标,15.88,0.035202,102.9903,传媒,广告营销
2026-08-07,29,002156,通富微电,64.72,0.06168,102.1872,电子,半导体
2026-08-07,30,001309,德明利,404.16,0.040979,100.3855,电子,半导体
2026-08-10,1,300308,中际旭创,864.58,-0.06011,457.64386519,通信,通信设备
2026-08-10,2,300502,新易盛,399.6,-0.05072,266.90707345,通信,通信设备
2026-08-10,3,688825,长鑫科技,51.3,-0.02248,256.74383815,电子,半导体
2026-08-10,4,603986,兆易创新,403.03,-0.03362,255.97872113,电子,半导体
2026-08-10,5,688256,寒武纪,1124.0,-0.06328,237.51647076,电子,半导体
2026-08-10,6,603259,药明康德,161.34,0.04211,204.24750304,医药生物,医疗服务
2026-08-10,7,002384,东山精密,185.94,-0.04778,190.40061414,电子,元件
2026-08-10,8,300476,胜宏科技,286.0,0.0207,169.852163,电子,元件
2026-08-10,9,600487,亨通光电,59.62,0.00168,153.769127,通信,通信设备
2026-08-10,10,002281,光迅科技,178.3,-0.07636,141.96466171,通信,通信设备
2026-08-10,11,002428,云南锗业,102.58,0.02498,137.91123222,未匹配,未匹配
2026-08-10,12,600176,中国巨石,43.28,-0.02479,131.18010162,建筑材料,玻璃玻纤
2026-08-10,13,600183,生益科技,138.57,-0.01007,130.37738736,电子,元件
2026-08-10,14,000636,风华高科,61.7,0.0585,125.72541667,电子,元件
2026-08-10,15,300285,国瓷材料,76.11,0.07379,124.19478282,电子,电子化学品Ⅱ
2026-08-10,16,301308,江波龙,412.5,0.06699,118.51094578,电子,半导体
2026-08-10,17,601138,工业富联,69.18,0.01467,113.93974962,电子,消费电子
2026-08-10,18,600584,长电科技,78.52,0.0099,111.27773471,电子,半导体
2026-08-10,19,000657,中钨高新,72.8,0.08641,110.27811131,有色金属,小金属
2026-08-10,20,688012,中微公司,389.99,0.06076,109.26425501,电子,半导体
2026-08-10,21,000725,京东方Ａ,5.89,-0.02965,104.74636754,电子,光学光电子
2026-08-10,22,300394,天孚通信,223.03,-0.03316,104.37271281,通信,通信设备
2026-08-10,23,603228,景旺电子,96.0,0.01106,100.21567775,未匹配,未匹配
2026-08-11,1,300308,中际旭创,886.96,0.02589,299.58629186,通信,通信设备
2026-08-11,2,300502,新易盛,415.3,0.03929,199.77399893,通信,通信设备
2026-08-11,3,603986,兆易创新,402.29,-0.00184,177.21401026,电子,半导体
2026-08-11,4,002384,东山精密,193.87,0.04265,175.891744,电子,元件
2026-08-11,5,000636,风华高科,65.85,0.06726,172.93417463,电子,元件
2026-08-11,6,300285,国瓷材料,72.88,-0.04244,155.19228394,电子,电子化学品Ⅱ
2026-08-11,7,601899,紫金矿业,33.18,-0.06403,152.98737728,有色金属,工业金属
2026-08-11,8,603259,药明康德,160.21,-0.007,149.39163904,医药生物,医疗服务
2026-08-11,9,688256,寒武纪,1090.64,-0.02968,147.51222439,电子,半导体
2026-08-11,10,688825,长鑫科技,50.4,-0.01754,143.98885241,电子,半导体
2026-08-11,11,301308,江波龙,417.5,0.01212,123.26403436,电子,半导体
2026-08-11,12,300408,三环集团,130.05,0.02482,119.11361737,电子,元件
2026-08-11,13,300476,胜宏科技,274.53,-0.0401,118.1911738,电子,元件
2026-08-11,14,688012,中微公司,363.1,-0.06895,114.12088549,电子,半导体
2026-08-11,15,600487,亨通光电,57.62,-0.03355,110.52134546,通信,通信设备
2026-08-11,16,600176,中国巨石,42.69,-0.01363,107.55287108,建筑材料,玻璃玻纤
2026-08-11,17,600584,长电科技,77.67,-0.01083,102.83784796,电子,半导体
2026-08-11,18,300274,阳光电源,120.07,0.05593,100.94967286,电力设备,光伏设备
2026-08-12,1,300308,中际旭创,921.0,0.03838,284.08443493,通信,通信设备
2026-08-12,2,688825,长鑫科技,53.52,0.0619,271.55743878,电子,半导体
2026-08-12,3,300502,新易盛,428.2,0.03106,187.51553809,通信,通信设备
2026-08-12,4,603986,兆易创新,413.17,0.02705,187.48833166,电子,半导体
2026-08-12,5,002384,东山精密,200.19,0.0326,157.04600958,电子,元件
2026-08-12,6,300394,天孚通信,240.05,0.07892,127.1855201,通信,通信设备
2026-08-12,7,000636,风华高科,66.51,0.01002,117.75791777,电子,元件
