date,direction,stock_code,stock_name,close,return,amount_100m,turnover,industry,source
2026-08-21,limit_down,603538,美诺华,28.5100000000,-0.1000631332,12.3612784000,0.1280942822,化学制药,东方财富涨跌停池直接接口
2026-08-21,limit_down,603823,百合花,77.7500000000,-0.1000115681,8.0252177600,0.0235220456,化学制品,东方财富涨跌停池直接接口
2026-08-21,limit_down,605179,一鸣食品,31.5500000000,-0.0998573494,6.0912100800,0.0476675797,饮料乳品,东方财富涨跌停池直接接口
2026-08-21,limit_down,003032,传智教育,10.7600000000,-0.0995815945,5.1478796800,0.1637164116,教育,东方财富涨跌停池直接接口
2026-08-21,limit_down,000523,红棉股份,3.1800000000,-0.0991501427,4.7733748800,0.1093046093,综合Ⅱ,东方财富涨跌停池直接接口
2026-08-21,limit_down,000505,京粮控股,6.7400000000,-0.1001335049,4.2533584000,0.0981105900,农产品加,东方财富涨跌停池直接接口
2026-08-21,limit_down,603102,百合股份,39.7200000000,-0.0999320221,2.8408691200,0.1077499962,食品加工,东方财富涨跌停池直接接口
2026-08-21,limit_down,603395,红四方,27.5800000000,-0.0998694515,2.7283771200,0.1502532959,农化制品,东方财富涨跌停池直接接口
2026-08-21,limit_down,002900,哈三联,13.7700000000,-0.1000000000,2.6228832800,0.1181418610,化学制药,东方财富涨跌停池直接接口
2026-08-21,limit_down,600272,开开实业,16.5000000000,-0.0998363304,2.4017414500,0.0908906269,医药商业,东方财富涨跌停池直接接口
2026-08-21,limit_down,600371,万向德农,7.7400000000,-0.1000000000,2.3134060600,0.1014344120,种植业,东方财富涨跌停池直接接口
2026-08-21,limit_down,601011,宝泰隆,2.8800000000,-0.1000000000,1.8224357400,0.0330293226,焦炭Ⅱ,东方财富涨跌停池直接接口
2026-08-21,limit_down,603382,海阳科技,20.3400000000,-0.1000000000,1.5960104800,0.0666306973,化学纤维,东方财富涨跌停池直接接口
2026-08-21,limit_up,002491,通鼎互联,21.2000000000,0.1001556778,72.6318592000,0.3045775986,通信设备,东方财富涨跌停池直接接口
2026-08-21,limit_up,002716,湖南白银,10.4200000000,0.1003167915,43.1298560000,0.1829219055,贵金属,东方财富涨跌停池直接接口
2026-08-21,limit_up,600353,旭光电子,38.2800000000,0.1000000000,37.8261918400,0.1232922459,其他电子,东方财富涨跌停池直接接口
2026-08-21,limit_up,000603,盛达资源,36.6100000000,0.1000601006,33.5481849600,0.1426759529,贵金属,东方财富涨跌停池直接接口
2026-08-21,limit_up,600460,士兰微,35.8900000000,0.0999080658,26.9927681600,0.0463324118,半导体,东方财富涨跌停池直接接口
2026-08-21,limit_up,002396,星网锐捷,33.1700000000,0.1001658344,24.0631323200,0.0980104446,通信设备,东方财富涨跌停池直接接口
2026-08-21,limit_up,600110,诺德股份,10.7400000000,0.1004098320,22.8522662400,0.1269511509,电池,东方财富涨跌停池直接接口
2026-08-21,limit_up,003031,中瓷电子,142.0400000000,0.0999767685,22.0251003200,0.0473838806,通信设备,东方财富涨跌停池直接接口
2026-08-21,limit_up,601212,白银有色,6.0900000000,0.0992779827,20.1590928000,0.0454397583,工业金属,东方财富涨跌停池直接接口
2026-08-21,limit_up,002192,融捷股份,72.5100000000,0.0999696636,19.7190587200,0.1075625229,能源金属,东方财富涨跌停池直接接口
2026-08-21,limit_up,600397,江钨装备,18.1400000000,0.1000606441,18.1296403200,0.1035189438,专用设备,东方财富涨跌停池直接接口
2026-08-21,limit_up,002536,飞龙股份,46.9700000000,0.1000000000,16.5315339200,0.0659322691,汽车零部,东方财富涨跌停池直接接口
2026-08-21,limit_up,300016,北陆药业,10.4400000000,0.2000000000,12.3029251200,0.2265367317,化学制药,东方财富涨跌停池直接接口
2026-08-21,limit_up,002655,共达电声,37.7700000000,0.0998835182,12.0189459200,0.0901249790,消费电子,东方财富涨跌停池直接接口
2026-08-21,limit_up,603330,天洋新材,9.9700000000,0.1004415035,11.2732385600,0.2883847046,塑料,东方财富涨跌停池直接接口
2026-08-21,limit_up,688328,深科达,91.1600000000,0.1999473381,11.0320332800,0.1353235245,专用设备,东方财富涨跌停池直接接口
2026-08-21,limit_up,600577,精达股份,8.6600000000,0.1003811932,10.2560808000,0.0546580029,电网设备,东方财富涨跌停池直接接口
2026-08-21,limit_up,002903,宇环数控,33.7400000000,0.1000978088,8.5701876800,0.2466338730,通用设备,东方财富涨跌停池直接接口
2026-08-21,limit_up,603626,科森科技,18.6500000000,0.1002949810,8.0052092800,0.0786752701,消费电子,东方财富涨跌停池直接接口
2026-08-21,limit_up,688137,近岸蛋白,80.9900000000,0.2000296402,7.9465356800,0.1512252998,生物制品,东方财富涨跌停池直接接口
2026-08-21,limit_up,300214,日科化学,12.9000000000,0.2000000000,7.9041115200,0.1416961384,化学制品,东方财富涨跌停池直接接口
2026-08-21,limit_up,000628,高新发展,45.3500000000,0.0999272346,7.3164534400,0.0872042084,房屋建设,东方财富涨跌停池直接接口
2026-08-21,limit_up,000710,贝瑞基因,10.3100000000,0.1003201675,5.9154304000,0.1764883804,医疗服务,东方财富涨跌停池直接接口
2026-08-21,limit_up,603065,宿迁联盛,17.3300000000,0.1003174591,5.8527027200,0.0827791977,化学制品,东方财富涨跌停池直接接口
2026-08-21,limit_up,002045,国光电器,9.1100000000,0.1002415466,4.9023684800,0.0988650417,消费电子,东方财富涨跌停池直接接口
2026-08-21,limit_up,603045,福达合金,57.2400000000,0.0999231339,4.7782094400,0.0630780268,金属新材,东方财富涨跌停池直接接口
2026-08-21,limit_up,002017,东信和平,14.5300000000,0.0999242973,4.7057731200,0.0569908905,通信设备,东方财富涨跌停池直接接口
2026-08-21,limit_up,603318,水发燃气,9.5400000000,0.1003460217,4.1679617600,0.0962566471,燃气Ⅱ,东方财富涨跌停池直接接口
