rank,stock_code,stock_name,close,prev_close,amount_yuan,volume,return,amount_100m,snapshot_source,sw_level1,sw_level2,sw_level2_code
1,603986,兆易创新,436.7400000000,444.0000000000,26794872150.0000000000,60757277.0000000000,-0.0163500000,267.9487215000,AKShare stock_zh_a_spot / 新浪,电子,半导体,801081
2,688825,长鑫科技,59.1900000000,61.8000000000,25460048436.0000000000,426504877.0000000000,-0.0422300000,254.6004843600,AKShare stock_zh_a_spot / 新浪,电子,半导体,801081
3,300308,中际旭创,988.1000000000,1001.0300000000,21830696238.0000000000,22073870.0000000000,-0.0129200000,218.3069623800,AKShare stock_zh_a_spot / 新浪,通信,通信设备,801102
4,000725,京东方Ａ,6.4700000000,6.0800000000,20484397392.0000000000,3242584483.0000000000,0.0641400000,204.8439739200,AKShare stock_zh_a_spot / 新浪,电子,光学光电子,801084
5,300502,新易盛,452.2100000000,466.6800000000,17684710915.0000000000,38927396.0000000000,-0.0310100000,176.8471091500,AKShare stock_zh_a_spot / 新浪,通信,通信设备,801102
6,600487,亨通光电,65.4100000000,65.0600000000,17095703551.0000000000,259648751.0000000000,0.0053800000,170.9570355100,AKShare stock_zh_a_spot / 新浪,通信,通信设备,801102
7,300394,天孚通信,291.4400000000,286.5600000000,15715979196.0000000000,54769227.0000000000,0.0170300000,157.1597919600,AKShare stock_zh_a_spot / 新浪,通信,通信设备,801102
8,002156,通富微电,70.6600000000,69.2600000000,13038866912.0000000000,183754844.0000000000,0.0202100000,130.3886691200,AKShare stock_zh_a_spot / 新浪,电子,半导体,801081
9,600584,长电科技,85.4200000000,85.8500000000,12923176753.0000000000,150833240.0000000000,-0.0050100000,129.2317675300,AKShare stock_zh_a_spot / 新浪,电子,半导体,801081
10,688256,寒武纪,1162.5000000000,1156.0000000000,12569910354.0000000000,10883232.0000000000,0.0056200000,125.6991035400,AKShare stock_zh_a_spot / 新浪,电子,半导体,801081
11,002384,东山精密,213.8200000000,217.6600000000,11731662516.0000000000,54849086.0000000000,-0.0176400000,117.3166251600,AKShare stock_zh_a_spot / 新浪,电子,元件,801083
12,600176,中国巨石,44.9100000000,46.3200000000,10886659781.0000000000,239610494.0000000000,-0.0304400000,108.8665978100,AKShare stock_zh_a_spot / 新浪,建筑材料,玻璃玻纤,801712
13,000938,紫光股份,39.2500000000,41.0300000000,10839525840.0000000000,274599422.0000000000,-0.0433800000,108.3952584000,AKShare stock_zh_a_spot / 新浪,计算机,IT服务Ⅱ,801103
14,002428,云南锗业,108.3000000000,109.6500000000,10490663369.0000000000,95635873.0000000000,-0.0123100000,104.9066336900,AKShare stock_zh_a_spot / 新浪,有色金属,小金属,801054
15,600183,生益科技,139.4100000000,144.4900000000,10341890687.0000000000,73620131.0000000000,-0.0351600000,103.4189068700,AKShare stock_zh_a_spot / 新浪,电子,元件,801083
16,600522,中天科技,35.2900000000,35.9000000000,10077793407.0000000000,281408993.0000000000,-0.0169900000,100.7779340700,AKShare stock_zh_a_spot / 新浪,通信,通信设备,801102
