日期,行业层级,一级行业代码,一级行业,指数代码,指数名称,收盘价,成交额,日收益率,20日年化波动率
2026-08-21,一级行业,801170,交通运输,801170,交通运输,2074.15000000,224.96910000,0.00121643,0.14928003
2026-08-21,一级行业,801760,传媒,801760,传媒,664.95000000,259.93900000,-0.00771504,0.37047278
2026-08-21,一级行业,801160,公用事业,801160,公用事业,2422.08000000,267.62030000,-0.00409942,0.16896088
2026-08-21,一级行业,801010,农林牧渔,801010,农林牧渔,2451.24000000,245.21600000,-0.02520073,0.27912768
2026-08-21,一级行业,801150,医药生物,801150,医药生物,8019.63000000,1927.10970000,-0.03485978,0.34355028
2026-08-21,一级行业,801200,商贸零售,801200,商贸零售,1768.46000000,121.52290000,-0.00904960,0.26288170
2026-08-21,一级行业,801740,国防军工,801740,国防军工,1603.47000000,343.32970000,0.01009166,0.32177862
2026-08-21,一级行业,801030,基础化工,801030,基础化工,4333.54000000,958.16890000,0.00345945,0.27989585
2026-08-21,一级行业,801110,家用电器,801110,家用电器,8584.82000000,152.01060000,-0.00930248,0.15186798
2026-08-21,一级行业,801710,建筑材料,801710,建筑材料,5928.93000000,241.09270000,0.00134268,0.41883246
2026-08-21,一级行业,801720,建筑装饰,801720,建筑装饰,1939.64000000,223.30920000,-0.00284294,0.19967209
2026-08-21,一级行业,801180,房地产,801180,房地产,1868.96000000,143.01580000,-0.00999036,0.19697328
2026-08-21,一级行业,801050,有色金属,801050,有色金属,8600.87000000,1437.17060000,0.02736701,0.43489760
2026-08-21,一级行业,801890,机械设备,801890,机械设备,2220.53000000,1246.86790000,0.00676913,0.42338804
2026-08-21,一级行业,801880,汽车,801880,汽车,6416.03000000,397.73580000,0.00337951,0.25388251
2026-08-21,一级行业,801950,煤炭,801950,煤炭,3336.57000000,114.58340000,0.00549371,0.24792486
2026-08-21,一级行业,801970,环保,801970,环保,1917.78000000,122.46680000,0.00352162,0.24721257
2026-08-21,一级行业,801730,电力设备,801730,电力设备,9461.34000000,1344.80380000,0.01303916,0.32894424
2026-08-21,一级行业,801080,电子,801080,电子,8772.76000000,4803.32760000,0.01006640,0.63560505
2026-08-21,一级行业,801960,石油石化,801960,石油石化,2756.84000000,176.95260000,0.01441681,0.21760415
2026-08-21,一级行业,801210,社会服务,801210,社会服务,7204.88000000,90.02500000,-0.00500475,0.27856387
2026-08-21,一级行业,801130,纺织服饰,801130,纺织服饰,1526.11000000,102.55610000,0.00019662,0.22761595
2026-08-21,一级行业,801230,综合,801230,综合,4307.86000000,33.89470000,-0.00183050,0.52123114
2026-08-21,一级行业,801980,美容护理,801980,美容护理,3388.16000000,32.79980000,-0.01741768,0.30849112
2026-08-21,一级行业,801750,计算机,801750,计算机,4382.43000000,796.71000000,0.00082214,0.37185572
2026-08-21,一级行业,801140,轻工制造,801140,轻工制造,2048.47000000,118.35580000,0.00028810,0.23084490
2026-08-21,一级行业,801770,通信,801770,通信,7391.78000000,1725.53330000,0.02474887,0.78273175
2026-08-21,一级行业,801040,钢铁,801040,钢铁,2181.39000000,67.00180000,0.00175885,0.21172692
2026-08-21,一级行业,801780,银行,801780,银行,4038.05000000,226.46480000,-0.00274870,0.17757188
2026-08-21,一级行业,801790,非银金融,801790,非银金融,1721.80000000,301.67380000,0.00594170,0.14164676
2026-08-21,一级行业,801120,食品饮料,801120,食品饮料,13791.98000000,260.11840000,-0.01331935,0.20674139
2026-08-21,二级行业,801170,交通运输,801178,物流,4093.50000000,36.53560000,-0.00623184,0.17360095
2026-08-21,二级行业,801170,交通运输,801991,航空机场,2263.39000000,18.98770000,-0.00944866,0.18216466
2026-08-21,二级行业,801170,交通运输,801992,航运港口,3546.49000000,134.49120000,0.02353576,0.20862071
2026-08-21,二级行业,801170,交通运输,801179,铁路公路,1459.20000000,34.95460000,-0.01366085,0.14678437
2026-08-21,二级行业,801760,传媒,801769,出版,1371.95000000,22.23370000,-0.01028704,0.28008556
2026-08-21,二级行业,801760,传媒,801765,广告营销,2484.29000000,80.31620000,-0.00602159,0.48519409
2026-08-21,二级行业,801760,传媒,801766,影视院线,997.73000000,29.78890000,-0.00534349,0.43076477
2026-08-21,二级行业,801760,传媒,801767,数字媒体,1546.25000000,18.25380000,-0.00529437,0.38141558
2026-08-21,二级行业,801760,传媒,801764,游戏Ⅱ,2779.24000000,96.53000000,-0.01066848,0.40371282
2026-08-21,二级行业,801760,传媒,801995,电视广播Ⅱ,966.86000000,12.81640000,0.00034143,0.26210900
2026-08-21,二级行业,801160,公用事业,801163,燃气Ⅱ,3138.27000000,39.57360000,0.00753823,0.25056318
2026-08-21,二级行业,801160,公用事业,801161,电力,3176.15000000,228.04660000,-0.00514631,0.16713418
2026-08-21,二级行业,801010,农林牧渔,801017,养殖业,2625.18000000,55.42590000,-0.01866098,0.28005536
2024-06-17,二级行业,801010,农林牧渔,801019,农业综合Ⅱ,1017.95000000,1.25278231,-0.01778305,0.27895502
2026-08-21,二级行业,801010,农林牧渔,801012,农产品加工,2210.66000000,62.95030000,-0.03446077,0.31320719
2026-08-21,二级行业,801010,农林牧渔,801018,动物保健Ⅱ,4401.56000000,7.91220000,-0.02883557,0.29539232
2024-06-17,二级行业,801010,农林牧渔,801011,林业Ⅱ,560.05000000,0.83046520,-0.01905663,0.35320758
2026-08-21,二级行业,801010,农林牧渔,801015,渔业,705.12000000,4.86840000,-0.00481278,0.30891389
2026-08-21,二级行业,801010,农林牧渔,801016,种植业,2375.54000000,82.84760000,-0.04898895,0.48006825
2026-08-21,二级行业,801010,农林牧渔,801014,饲料,3519.33000000,24.10470000,-0.01861638,0.27260759
2026-08-21,二级行业,801150,医药生物,801155,中药Ⅱ,5552.17000000,151.71860000,-0.03418854,0.22689674
2026-08-21,二级行业,801150,医药生物,801151,化学制药,11755.55000000,673.93610000,-0.04352704,0.36083327
2026-08-21,二级行业,801150,医药生物,801153,医疗器械,5836.67000000,236.26220000,-0.01820717,0.27633346
2026-08-21,二级行业,801150,医药生物,801156,医疗服务,8611.96000000,451.39290000,-0.03739447,0.53451650
2026-08-21,二级行业,801150,医药生物,801154,医药商业,4589.03000000,57.11340000,-0.03081355,0.24146181
2026-08-21,二级行业,801150,医药生物,801152,生物制品,5803.06000000,356.68640000,-0.03614062,0.46388516
2026-08-21,二级行业,801200,商贸零售,801203,一般零售,2703.44000000,74.57390000,-0.01008429,0.27663324
2026-08-21,二级行业,801200,商贸零售,801204,专业连锁Ⅱ,3493.69000000,5.75000000,-0.00607390,0.31375753
2026-08-21,二级行业,801200,商贸零售,801206,互联网电商,9666.34000000,22.53780000,-0.00373201,0.33117263
2024-06-17,二级行业,801200,商贸零售,801207,旅游零售Ⅱ,8063.33000000,7.79581263,-0.00721626,0.26478795
2026-08-21,二级行业,801200,商贸零售,801202,贸易Ⅱ,4117.39000000,9.06810000,-0.00720713,0.28399497
2026-08-21,二级行业,801740,国防军工,801745,军工电子Ⅱ,5836.06000000,152.98880000,0.01112819,0.42450668
2026-08-21,二级行业,801740,国防军工,801743,地面兵装Ⅱ,14410.39000000,17.92640000,-0.00014432,0.42107400
