指数代码,指数名称,发布日期,收盘指数,成交量,涨跌幅,换手率,市盈率,市净率,均价,成交额占比,流通市值,平均流通市值,股息率
801019,农业综合Ⅱ,2026-08-10,1192.26,0.37,3.35,3.49,38.26,1.33,4.54,0.01,48.93,24.47,2.0
801032,化学纤维,2026-08-10,4621.88,4.47,0.75,3.48,40.45,1.78,12.99,0.19,1049.71,40.37,0.88
801033,化学原料,2026-08-10,3358.68,16.29,2.16,4.47,31.11,1.78,11.78,0.89,3538.56,62.08,1.58
801034,化学制品,2026-08-10,6796.14,29.01,2.17,6.0,29.07,2.33,20.67,2.51,8682.6,50.78,1.44
801036,塑料,2026-08-10,4882.21,12.82,0.36,6.49,63.77,3.37,27.87,1.19,3375.25,46.88,0.57
801037,橡胶,2026-08-10,4710.07,1.75,1.46,3.77,58.17,2.6,18.7,0.14,532.03,31.3,0.68
801038,农化制品,2026-08-10,5353.47,14.87,1.85,4.13,21.06,2.25,16.17,0.86,5001.11,84.76,1.58
801039,非金属材料Ⅱ,2026-08-10,6201.5,1.07,-0.45,7.85,57.07,3.48,45.99,0.25,523.72,65.47,0.47
801043,冶钢原料,2026-08-10,3258.88,2.9,2.01,3.07,45.18,1.82,10.56,0.1,617.35,68.59,1.54
801044,普钢,2026-08-10,2090.95,12.92,0.73,2.21,36.91,0.78,3.06,0.18,1545.02,70.23,1.64
801045,特钢Ⅱ,2026-08-10,3888.97,2.75,0.49,2.37,17.28,1.24,10.98,0.09,721.79,60.15,3.07
801051,金属新材料,2026-08-10,9523.63,4.84,0.35,5.5,67.67,4.1,38.66,0.55,1807.93,56.5,0.58
801053,贵金属,2026-08-10,27917.7,10.79,3.89,9.22,25.55,4.43,30.39,1.24,3088.97,280.82,0.72
801054,小金属,2026-08-10,39974.94,15.17,2.94,11.67,55.73,5.57,42.09,3.3,5406.84,200.25,0.55
801055,工业金属,2026-08-10,3601.38,43.66,1.26,4.88,17.14,3.02,16.61,3.21,15093.29,255.82,1.54
801056,能源金属,2026-08-10,17916.94,5.64,3.46,9.66,26.75,2.37,55.36,1.18,2828.84,257.17,0.43
801072,通用设备,2026-08-10,8040.92,30.65,0.5,5.71,66.95,3.94,43.14,3.07,9833.63,45.11,0.58
801074,专用设备,2026-08-10,11888.86,22.98,0.4,4.35,43.98,3.19,27.45,2.18,7852.7,43.39,0.87
801076,轨交设备Ⅱ,2026-08-10,5676.62,3.72,1.32,1.89,18.65,1.22,15.68,0.14,1345.11,44.84,3.23
801077,工程机械,2026-08-10,22266.3,6.88,0.96,2.54,19.56,1.96,25.02,0.34,3711.88,132.57,2.18
801078,自动化设备,2026-08-10,20652.08,9.32,-1.62,4.95,79.26,5.86,52.85,2.09,7609.52,96.32,0.35
801081,半导体,2026-08-10,10150.59,39.58,-0.36,6.93,123.22,9.47,132.6,17.0,53344.48,299.69,0.13
801083,元件,2026-08-10,22834.43,28.74,-1.25,12.8,81.07,10.03,70.77,7.62,16172.1,269.54,0.46
801152,生物制品,2026-08-10,5689.96,8.22,0.96,4.16,44.73,2.24,31.82,1.0,3390.92,66.49,1.03
801994,教育,2026-08-10,1814.66,6.0,1.53,5.41,99.98,4.47,13.88,0.18,529.06,31.12,0.44
801154,医药商业,2026-08-10,4697.93,8.73,2.66,7.17,18.53,1.24,13.5,0.38,1187.62,37.11,2.22
801738,电网设备,2026-08-10,5621.03,35.72,1.07,6.61,32.04,2.86,20.14,2.2,8837.24,70.14,1.15
801741,航天装备Ⅱ,2026-08-10,26768.75,2.24,0.75,5.32,393.54,4.93,40.87,0.37,1193.94,132.66,0.09
801742,航空装备Ⅱ,2026-08-10,8474.12,6.23,2.06,3.47,66.04,3.16,29.98,0.78,4489.8,99.77,0.54
801743,地面兵装Ⅱ,2026-08-10,15686.21,3.23,5.12,6.87,115.24,3.01,26.95,0.3,668.72,55.73,0.36
801744,航海装备Ⅱ,2026-08-10,3214.59,2.97,0.43,3.36,27.42,2.19,34.58,0.34,2568.3,256.83,0.7
801745,军工电子Ⅱ,2026-08-10,6214.34,9.44,0.77,5.05,95.59,4.46,39.79,1.18,4971.28,81.5,0.31
801764,游戏Ⅱ,2026-08-10,2955.97,10.73,1.6,4.11,25.32,3.34,28.96,0.64,3410.84,131.19,1.27
801765,广告营销,2026-08-10,2742.83,19.12,1.3,7.49,63.1,4.45,11.77,1.02,2141.12,76.47,2.67
801766,影视院线,2026-08-10,1097.17,10.82,3.26,8.26,256.07,2.73,9.22,0.39,933.05,49.11,0.28
801767,数字媒体,2026-08-10,1634.16,1.75,-0.06,5.04,67.18,2.72,20.21,0.13,573.46,40.96,0.51
801769,出版,2026-08-10,1443.17,3.81,-0.06,3.57,23.07,1.53,11.21,0.24,844.54,29.12,2.06
801782,国有大型银行Ⅱ,2026-08-10,1902.68,12.95,0.15,1.22,7.24,0.6,6.97,0.42,7250.11,1208.35,4.11
801783,股份制银行Ⅱ,2026-08-10,4176.01,8.44,0.32,0.88,5.55,0.44,11.29,0.36,9852.24,1094.69,5.31
801784,城商行Ⅱ,2026-08-10,1044.46,7.61,1.09,1.15,5.87,0.52,9.68,0.3,6139.96,361.17,4.67
801785,农商行Ⅱ,2026-08-10,757.43,3.87,0.06,1.43,5.65,0.53,4.93,0.09,1422.13,142.21,4.76
801881,摩托车及其他,2026-08-10,3448.26,1.06,1.67,2.34,26.51,3.27,53.02,0.11,871.5,58.1,2.02
801951,煤炭开采,2026-08-10,3794.34,11.43,2.35,4.08,20.27,1.54,12.15,0.58,4105.88,157.92,2.58
801952,焦炭Ⅱ,2026-08-10,1144.52,3.02,2.1,4.02,573.02,1.24,3.31,0.05,249.65,35.66,0.46
801961,油气开采Ⅱ,2026-08-10,2547.72,1.89,1.3,1.74,15.52,1.57,11.44,0.1,989.62,247.41,2.34
801962,油服工程,2026-08-10,2385.21,4.64,1.14,4.09,25.78,1.6,10.79,0.19,648.61,49.89,1.61
801963,炼化及贸易,2026-08-10,3089.31,10.27,1.59,2.29,20.95,1.32,10.58,0.45,3829.53,127.65,2.05
801971,环境治理,2026-08-10,1891.2,14.75,1.91,3.54,23.86,1.46,13.69,0.6,3090.86,29.72,1.35
801972,环保设备Ⅱ,2026-08-10,2147.82,4.17,0.6,6.27,39.78,2.34,17.67,0.23,820.5,31.56,1.04
801981,个护用品,2026-08-10,1268.22,0.74,2.09,3.83,28.14,1.93,19.61,0.05,254.35,21.2,1.96
801982,化妆品,2026-08-10,5988.6,1.38,2.58,5.13,29.54,2.55,22.1,0.12,427.79,32.91,1.49
801983,医疗美容,2026-08-10,1115.0,0.17,0.11,1.67,39.38,3.44,49.29,0.04,237.61,79.2,1.27
801991,航空机场,2026-08-10,2366.19,4.57,0.47,1.17,24.84,2.17,12.26,0.1,1672.1,139.34,0.94
801992,航运港口,2026-08-10,3406.23,10.59,1.01,2.49,14.42,1.31,8.02,0.4,2879.91,84.7,3.31
801993,旅游及景区,2026-08-10,1928.63,2.44,1.94,2.82,44.96,2.45,14.55,0.1,645.88,25.84,1.27
801737,电池,2026-08-10,23687.3,21.67,1.19,5.0,28.0,3.42,37.99,3.29,20424.53,210.56,1.35
801736,风电设备,2026-08-10,2256.06,5.91,0.07,3.87,33.95,1.66,25.21,0.48,1981.62,66.05,0.89
801153,医疗器械,2026-08-10,5842.76,10.4,0.51,4.2,37.68,2.44,31.64,1.34,6064.38,47.01,1.25
801733,其他电源设备Ⅱ,2026-08-10,38413.25,5.59,-0.42,3.42,61.63,3.32,39.1,0.77,2981.26,93.16,0.68
801155,中药Ⅱ,2026-08-10,5790.73,14.05,0.41,3.64,24.06,2.0,16.72,0.74,3971.95,60.18,2.94
801156,医疗服务,2026-08-10,8670.75,19.23,3.92,8.04,34.93,4.25,39.52,3.24,6927.64,135.84,0.85
801161,电力,2026-08-10,3296.66,61.0,0.79,3.91,21.18,1.57,8.41,2.11,11055.66,101.43,2.5
801163,燃气Ⅱ,2026-08-10,3210.38,3.63,1.92,3.33,24.23,1.91,12.6,0.19,1001.09,35.75,2.02
801178,物流,2026-08-10,4199.52,5.15,1.66,2.08,16.75,1.11,11.3,0.22,2509.03,53.38,2.62
801179,铁路公路,2026-08-10,1497.98,7.64,0.23,1.96,16.92,0.87,8.03,0.21,2040.4,61.83,2.84
801181,房地产开发,2026-08-10,2196.33,34.98,1.63,3.7,19.25,0.77,5.69,0.67,3849.98,46.39,0.8
801183,房地产服务,2026-08-10,749.93,3.38,1.74,4.59,48.2,1.44,6.67,0.05,234.03,19.5,1.24
801735,光伏设备,2026-08-10,5509.76,15.41,-0.09,3.62,45.36,2.71,30.25,1.4,7583.26,114.9,0.77
801193,证券Ⅱ,2026-08-10,6232.41,18.18,0.34,1.34,15.43,1.19,10.75,0.99,15653.74,313.07,2.13
801194,保险Ⅱ,2026-08-10,1177.48,2.11,-0.54,1.25,6.84,1.01,37.82,0.35,7052.5,1410.5,4.6
801202,贸易Ⅱ,2026-08-10,4279.77,1.67,2.31,2.75,22.93,1.34,7.62,0.06,415.57,34.63,1.75
801203,一般零售,2026-08-10,2751.79,14.02,1.87,3.27,39.03,1.48,11.02,0.4,2162.86,36.05,1.14
801204,专业连锁Ⅱ,2026-08-10,3661.94,0.93,1.94,3.22,60.03,2.75,10.83,0.04,265.23,37.89,1.44
801206,互联网电商,2026-08-10,10209.02,3.85,0.9,4.09,34.08,2.46,16.37,0.16,621.12,34.51,0.9
801191,多元金融,2026-08-10,1152.12,6.25,1.91,2.51,20.72,1.22,8.62,0.21,1501.63,62.57,1.39
801216,体育Ⅱ,2026-08-10,1488.93,0.45,3.18,5.57,,3.13,9.59,0.02,64.74,32.37,
801207,旅游零售Ⅱ,2026-08-10,6584.06,0.49,0.8,2.93,30.98,2.13,30.51,0.08,549.27,274.63,1.16
801731,电机Ⅱ,2026-08-10,12849.38,2.97,-1.01,3.95,49.44,3.25,29.39,0.29,1237.0,47.58,0.74
801726,工程咨询服务Ⅱ,2026-08-10,2206.64,5.27,0.85,6.76,47.8,1.96,17.31,0.42,987.28,24.68,0.78
801724,专业工程,2026-08-10,1789.0,7.08,0.83,2.94,20.92,1.08,20.3,0.38,1635.35,44.2,1.69
801722,装修装饰Ⅱ,2026-08-10,3942.05,4.79,0.6,4.89,69.04,2.41,11.1,0.17,494.4,22.47,0.91
801721,房屋建设Ⅱ,2026-08-10,2772.66,4.0,0.6,2.2,7.43,0.44,8.03,0.08,729.51,91.19,3.9
801723,基础建设,2026-08-10,2092.15,11.16,0.72,1.99,9.47,0.49,8.0,0.25,2460.96,61.52,2.75
801712,玻璃玻纤,2026-08-10,21238.48,10.26,-1.04,9.57,60.22,3.66,24.74,1.64,2185.67,136.6,0.65
801711,水泥,2026-08-10,4098.0,4.62,1.88,3.45,21.59,0.67,7.89,0.16,1025.05,48.81,2.87
801231,综合Ⅱ,2026-08-10,4232.64,3.46,1.32,2.93,92.87,2.75,7.87,0.14,980.57,49.03,0.26
801223,通信服务,2026-08-10,2176.24,10.27,0.14,2.64,26.62,1.76,20.48,0.63,3787.4,102.36,2.24
801219,酒店餐饮,2026-08-10,1527.83,1.58,4.22,5.27,27.74,1.62,10.33,0.07,261.63,29.07,1.96
801218,专业服务,2026-08-10,5688.55,3.17,1.56,4.75,27.83,2.36,21.44,0.22,899.15,31.01,1.37
801713,装修建材,2026-08-10,4451.26,4.13,1.62,3.22,34.86,1.73,15.19,0.19,1216.66,34.76,2.66
801104,软件开发,2026-08-11,6009.51,24.62,-0.12,5.16,89.51,4.43,32.06,2.71,9396.79,72.28,0.46
801114,厨卫电器,2026-08-11,7864.59,0.64,-0.37,2.9,21.08,1.5,10.67,0.04,203.46,22.61,3.54
801113,小家电,2026-08-11,4097.5,0.91,0.01,2.45,23.77,2.48,25.41,0.1,686.16,34.31,1.53
801112,黑色家电,2026-08-11,1919.86,1.98,0.49,2.57,29.25,2.07,20.36,0.1,779.91,86.66,1.43
801111,白色家电,2026-08-11,19555.03,1.44,0.0,0.9,11.77,2.13,20.34,0.22,6708.86,609.9,5.03
801103,IT服务Ⅱ,2026-08-11,4919.32,28.14,-0.25,4.76,116.64,3.46,22.75,2.33,8014.26,65.69,0.28
801086,电子化学品Ⅱ,2026-08-11,12211.38,9.58,-2.09,9.25,103.47,6.76,59.6,2.27,4357.9,124.51,0.33
801101,计算机设备,2026-08-11,2932.17,10.76,-1.19,3.78,39.65,3.66,27.28,1.34,6568.84,80.11,1.27
801096,商用车,2026-08-11,6842.14,3.56,-2.62,2.77,22.44,2.56,11.35,0.24,1303.54,100.27,2.98
801095,乘用车,2026-08-11,14367.89,2.91,-1.15,1.66,25.28,1.65,24.14,0.26,3612.45,451.56,0.93
801093,汽车零部件,2026-08-11,7324.75,27.52,-0.18,3.44,25.44,2.35,22.37,2.35,11776.07,48.66,1.3
801092,汽车服务,2026-08-11,446.49,0.9,-0.43,2.11,40.96,1.72,6.73,0.03,233.7,25.97,0.74
801102,通信设备,2026-08-11,9263.65,21.4,1.34,6.52,67.3,9.38,73.74,7.39,23948.11,281.74,0.31
801115,照明设备Ⅱ,2026-08-11,4332.46,0.8,-0.9,2.04,52.81,1.94,23.05,0.06,261.74,21.81,1.51
801145,文娱用品,2026-08-11,1665.32,1.31,-1.71,4.28,40.8,2.9,17.04,0.08,406.36,20.32,1.14
801117,其他家电Ⅱ,2026-08-11,531.65,0.33,-1.57,2.96,43.19,1.23,9.05,0.01,60.9,20.3,1.45
801124,食品加工,2026-08-11,12638.2,4.24,-0.67,4.97,25.28,2.04,15.33,0.16,968.99,38.76,3.17
801125,白酒Ⅱ,2026-08-11,37714.3,2.09,-0.6,2.5,20.24,3.75,107.39,0.58,10091.98,531.16,4.05
801126,非白酒,2026-08-11,3465.56,1.03,-0.83,1.99,23.67,2.5,14.47,0.07,697.82,43.61,2.63
801127,饮料乳品,2026-08-11,7119.43,4.14,-0.93,3.19,17.81,2.94,18.64,0.37,2589.4,99.59,3.98
801128,休闲食品,2026-08-11,1655.52,1.3,-0.94,3.12,18.3,1.95,15.94,0.09,507.93,23.09,2.61
801129,调味发酵品Ⅱ,2026-08-11,6975.44,4.63,-1.36,5.96,28.61,3.56,16.7,0.3,1365.25,97.52,2.39
801131,纺织制造,2026-08-11,1755.59,3.44,-0.42,3.52,23.14,1.65,13.21,0.19,763.85,23.87,2.43
801132,服装家纺,2026-08-11,1498.82,6.47,0.7,3.51,27.84,1.75,11.73,0.27,1303.15,22.09,2.57
801133,饰品,2026-08-11,1412.19,5.36,-0.69,8.77,20.88,1.89,11.28,0.18,439.96,29.33,2.6
801141,包装印刷,2026-08-11,2725.72,5.17,-1.11,3.25,36.85,2.22,11.39,0.23,1167.18,29.18,1.51
801142,家居用品,2026-08-11,1609.07,4.83,-0.63,4.0,27.94,1.82,17.45,0.26,1429.45,19.58,2.21
801143,造纸,2026-08-11,2102.0,4.3,0.41,2.81,27.62,1.17,10.74,0.14,780.48,33.93,1.54
801085,消费电子,2026-08-11,10177.97,17.27,-1.19,4.25,37.38,4.61,41.84,3.24,13066.59,143.59,0.8
801116,家电零部件Ⅱ,2026-08-11,6640.81,4.39,1.26,4.79,38.93,3.53,19.3,0.44,1640.37,56.56,0.95
801084,光学光电子,2026-08-11,1826.34,40.15,0.02,4.4,60.5,2.47,31.8,2.38,7883.52,84.77,0.63
801043,冶钢原料,2026-08-11,3196.45,2.6,-1.92,2.75,44.32,1.78,10.34,0.11,605.52,67.28,1.57
801082,其他电子Ⅱ,2026-08-11,16498.19,6.46,0.76,7.2,57.96,5.47,38.49,0.97,2253.89,68.3,0.33
801151,化学制药,2026-08-11,12327.85,44.24,0.62,7.46,42.14,3.23,24.31,3.53,10475.53,70.31,0.94
801011,林业Ⅱ,2026-08-11,1676.24,1.03,0.11,5.35,5224.0,5.82,11.48,0.04,135.7,33.93,0.02
801012,农产品加工,2026-08-11,2162.84,3.25,-1.76,3.72,39.8,1.97,12.96,0.16,751.46,32.67,1.8
801014,饲料,2026-08-11,3556.19,3.03,-1.3,2.54,46.81,2.02,13.61,0.14,988.94,54.94,1.27
801015,渔业,2026-08-11,694.16,1.02,-1.24,3.7,145.22,2.37,5.12,0.02,100.71,16.79,0.19
801016,种植业,2026-08-11,2256.93,4.4,-1.89,4.13,36.39,2.13,7.55,0.13,704.7,35.23,1.23
801017,养殖业,2026-08-11,2679.07,6.5,-0.83,2.77,36.2,2.4,12.18,0.37,2546.98,115.77,2.69
801018,动物保健Ⅱ,2026-08-11,4559.68,0.48,-1.54,1.66,44.46,2.04,13.57,0.03,331.77,36.86,1.37
801019,农业综合Ⅱ,2026-08-11,1175.57,0.24,-1.4,2.2,37.72,1.31,4.47,0.01,48.25,24.12,2.03
801032,化学纤维,2026-08-11,4538.0,3.91,-1.81,3.05,39.71,1.75,12.78,0.17,1030.66,39.64,0.89
801033,化学原料,2026-08-11,3304.36,14.58,-1.62,3.99,30.62,1.75,11.62,0.9,3484.73,61.14,1.6
801034,化学制品,2026-08-11,6686.85,24.49,-1.61,5.07,28.64,2.29,20.56,2.31,8557.47,50.04,1.46
801036,塑料,2026-08-11,4913.72,11.65,0.65,5.9,64.26,3.4,27.88,1.23,3397.04,47.18,0.57
801037,橡胶,2026-08-11,4676.01,1.69,-0.72,3.64,57.76,2.58,18.57,0.13,528.18,31.07,0.69
801038,农化制品,2026-08-11,5190.66,13.89,-3.04,3.86,20.42,2.18,15.72,0.94,4849.01,82.19,1.63
801039,非金属材料Ⅱ,2026-08-11,6128.87,0.82,-1.17,6.0,56.42,3.44,45.27,0.2,517.59,64.7,0.47
801044,普钢,2026-08-11,2068.93,13.79,-1.05,2.36,36.52,0.77,3.05,0.23,1528.74,69.49,1.65
801045,特钢Ⅱ,2026-08-11,3804.73,2.74,-2.17,2.36,16.91,1.22,10.72,0.09,706.16,58.85,3.14
801051,金属新材料,2026-08-11,9337.6,4.09,-1.95,4.64,66.39,4.02,38.25,0.5,1772.61,55.39,0.59
801053,贵金属,2026-08-11,26426.47,14.22,-5.34,12.15,24.19,4.19,28.65,1.7,2923.98,265.82,0.76
801054,小金属,2026-08-11,38210.17,12.48,-4.41,9.6,53.26,5.33,40.39,2.79,5168.15,191.41,0.57
801055,工业金属,2026-08-11,3427.12,54.87,-4.84,6.14,16.31,2.87,16.02,4.42,14364.19,243.46,1.62
801056,能源金属,2026-08-11,17417.55,4.09,-2.79,7.02,26.03,2.3,53.96,0.95,2750.0,250.0,0.44
801072,通用设备,2026-08-11,7983.79,30.11,-0.71,5.61,66.41,3.91,42.66,3.18,9763.78,44.79,0.58
801074,专用设备,2026-08-11,11818.52,21.37,-0.59,4.05,43.72,3.18,27.27,2.02,7806.24,43.13,0.89
801076,轨交设备Ⅱ,2026-08-11,5662.1,3.31,-0.26,1.68,18.6,1.21,15.63,0.14,1341.67,44.72,3.24
801077,工程机械,2026-08-11,21886.1,6.73,-1.71,2.49,19.22,1.93,24.81,0.41,3648.49,130.3,2.22
801078,自动化设备,2026-08-11,20681.76,9.15,0.14,4.86,79.36,5.87,53.49,2.11,7618.68,96.44,0.35
801081,半导体,2026-08-11,10032.49,37.56,-1.16,6.58,121.72,9.35,131.12,15.83,52713.19,296.14,0.13
801083,元件,2026-08-11,22835.81,26.97,0.01,11.98,81.45,10.04,72.04,7.4,16252.7,266.44,0.46
801152,生物制品,2026-08-11,5763.02,7.6,1.28,3.85,45.25,2.27,32.27,1.08,3434.47,67.34,1.02
801153,医疗器械,2026-08-11,5831.56,9.22,-0.19,3.73,37.63,2.44,31.63,1.24,6052.76,46.92,1.25
801784,城商行Ⅱ,2026-08-11,1042.47,5.6,-0.19,0.84,5.86,0.52,9.67,0.23,6128.26,360.49,4.68
801738,电网设备,2026-08-11,5567.91,28.88,-0.95,5.34,31.76,2.83,19.96,1.98,8756.66,69.5,1.16
801741,航天装备Ⅱ,2026-08-11,25093.31,2.56,-6.26,6.09,368.9,4.62,38.78,0.42,1119.22,124.36,0.1
801742,航空装备Ⅱ,2026-08-11,8343.54,5.0,-1.54,2.79,65.02,3.11,29.51,0.68,4420.62,98.24,0.54
801743,地面兵装Ⅱ,2026-08-11,15317.43,2.54,-2.35,5.4,112.72,2.95,25.82,0.29,653.0,54.42,0.36
801744,航海装备Ⅱ,2026-08-11,3120.16,2.68,-2.94,3.03,26.62,2.13,33.17,0.36,2492.85,249.29,0.72
801745,军工电子Ⅱ,2026-08-11,6095.47,8.52,-1.91,4.55,93.79,4.37,39.11,1.23,4876.19,79.94,0.32
801764,游戏Ⅱ,2026-08-11,2916.23,10.98,-1.34,4.21,24.97,3.3,28.49,0.69,3364.97,129.42,1.29
801765,广告营销,2026-08-11,2718.11,16.19,-0.9,6.35,62.48,4.4,11.72,0.92,2121.81,75.78,2.7
801766,影视院线,2026-08-11,1105.49,11.12,0.76,8.49,258.01,2.75,9.35,0.48,940.13,49.48,0.27
801767,数字媒体,2026-08-11,1627.05,1.76,-0.43,5.09,66.88,2.71,20.16,0.15,570.96,40.78,0.52
801769,出版,2026-08-11,1425.1,3.12,-1.25,2.93,22.78,1.51,11.06,0.21,833.97,28.76,2.09
801782,国有大型银行Ⅱ,2026-08-11,1914.72,12.89,0.63,1.22,7.28,0.6,7.01,0.46,7295.98,1216.0,4.08
801783,股份制银行Ⅱ,2026-08-11,4160.45,7.59,-0.37,0.79,5.53,0.44,11.26,0.32,9815.52,1090.61,5.33
801785,农商行Ⅱ,2026-08-11,756.11,3.23,-0.17,1.19,5.64,0.53,4.91,0.08,1419.66,141.97,4.77
801737,电池,2026-08-11,23569.46,17.72,-0.5,4.09,27.87,3.4,37.95,2.98,20322.93,209.51,1.36
801881,摩托车及其他,2026-08-11,3412.26,0.87,-1.04,1.91,26.22,3.23,52.39,0.09,862.4,57.49,2.04
801952,焦炭Ⅱ,2026-08-11,1146.55,2.63,0.18,3.5,574.03,1.24,3.32,0.04,250.09,35.73,0.47
801961,油气开采Ⅱ,2026-08-11,2666.46,4.47,4.66,4.13,16.24,1.64,11.94,0.19,1035.74,258.94,2.24
801962,油服工程,2026-08-11,2411.5,7.0,1.1,6.18,26.07,1.62,10.92,0.35,655.76,50.44,1.59
801963,炼化及贸易,2026-08-11,3068.37,10.32,-0.68,2.3,20.81,1.3,10.48,0.49,3803.57,126.79,2.06
801971,环境治理,2026-08-11,1872.48,12.13,-0.99,2.91,23.58,1.44,13.63,0.54,3060.26,29.43,1.36
801972,环保设备Ⅱ,2026-08-11,2157.24,5.05,0.44,7.59,39.96,2.35,17.76,0.28,824.09,31.7,1.03
